"MILITARY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"","102
001","","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","","11","3.318","54.5",".","18.2","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"","003
102","","17","3.235","52.9","11.8","5.9",".","23.5","5.9",".",".",".",".",".",".",".",".",".","."
"Intro to Military Leadershp","Course Total","","39","3.397","53.8","15.4","10.3","2.6","15.4","2.6",".",".",".",".",".",".",".",".",".","."
"Marksmanship","150
001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orienteering","194
001","","6","3.400","16.7","33.3","33.3",".",".",".",".","16.7",".",".",".",".",".",".",".","."
"","202
001","","13","3.346","69.2",".","7.7","7.7","7.7",".","7.7",".",".",".",".",".",".",".",".","."
"","202
002","","8","3.313","25.0","37.5","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","202
003","","20","2.525","15.0","15.0","25.0","10.0","10.0","20.0","5.0",".",".",".",".",".",".",".",".","."
"Fundamntls-Military Tactics","Course Total","","41","2.939","34.1","14.6","17.1","12.2","7.3","9.8","4.9",".",".",".",".",".",".",".",".","."
"Advanced Military Tactics","332
001","","14","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Leadship,Mgmt&Legl Oper","442
001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"MIL SCI
644","Dept. Total","","118","3.279","44.9","21.2","14.4","5.1","7.6","4.2","1.7","0.8",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","47","3.000","42.6","17.0","17.0","6.4","6.4","6.4","4.3",".",".",".",".",".",".",".",".","."
"Sophomore","","","38","3.205","47.4","15.8","7.9","7.9","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Junior","","","13","3.667","53.8","23.1","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","","20","3.635","40.0","40.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Undergraduates","","","118","3.279","44.9","21.2","14.4","5.1","7.6","4.2","1.7","0.8",".",".",".",".",".",".",".","."
"","Dept. Total","","118","3.279","44.9","21.2","14.4","5.1","7.6","4.2","1.7","0.8",".",".",".",".",".",".",".","."
