"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","",""
"Pre-Trial Advocacy","849
001","45","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","850
001","64","3.843","64.1","14.1","6.3",".",".",".",".","15.6",".",".",".",".",".",".",".","."
"","850
002","42","3.488","54.8","14.3","21.4","2.4","4.8",".","2.4",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","Course Total","106","3.688","60.4","14.2","12.3","0.9","1.9",".","0.9","9.4",".",".",".",".",".",".",".","."
"","852
001","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
002","12","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
852","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
004","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
852","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","852
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Trial Advocacy","Course Total","63","3.832","74.6","15.9","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","854
001","40","",".",".",".",".",".",".",".","97.5",".",".",".",".","2.5",".",".","."
"","854
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
003","10","3.643","80.0",".","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","854
004","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
006","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
007","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
008","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
010","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","854
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","854
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Program","Course Total","108","3.655","8.3",".","0.9",".","0.9",".",".","88.9",".",".",".",".","0.9",".",".","."
"Collctv Bargang-Arbtrn Proc","858
001","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Institutionalized Persons","862
001","28","0.000",".",".",".",".",".",".","3.6","96.4",".",".",".",".",".",".",".","."
"International Tax","870
001","23","3.357","34.8","17.4","26.1","4.3","4.3","4.3",".","8.7",".",".",".",".",".",".",".","."
"International Trade Law","871
001","29","3.567","27.6","3.4","20.7",".",".",".",".","48.3",".",".",".",".",".",".",".","."
"Legal Iss: N Amer & E Asia","872
001","13","3.385","23.1","46.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Wisconsin Internl Law Journ","895
001","57","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Womens Law Journal","896
001","21","",".",".",".",".",".",".",".","95.2",".",".",".",".","4.8",".",".","."
"Law Review","899
001","75","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Juvenile Justice Adm","902
001","14","3.453","35.7","21.4","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","904
001","10","3.722","60.0","10.0","20.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"","002
904","37","3.500","24.3","29.7","18.9","2.7",".",".",".","24.3",".",".",".",".",".",".",".","."
"","003
904","30","3.529","13.3","33.3","10.0",".",".",".",".","43.3",".",".",".",".",".",".",".","."
"Constitutional Law Seminar","Course Total","77","3.546","24.7","28.6","15.6","1.3",".",".",".","29.9",".",".",".",".",".",".",".","."
"Sex-Based Discrmnatn Sem","910
001","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Securities Regulation","914
001","20","3.786","50.0","10.0","10.0",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","915
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
915","11","3.444","27.3","18.2","36.4",".",".",".",".","18.2",".",".",".",".",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","19","3.762","57.9","10.5","21.1",".",".",".",".","10.5",".",".",".",".",".",".",".","."
"Problems: Intl Law Seminar","918
001","20","3.600","50.0","25.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
