"HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","",""
"Immigratn&Assimlatn-Am Hist","403","001","70","3.032","15.7","12.9","42.9","12.9","12.9",".",".","2.9",".",".",".",".",".",".",".","."
"Hist-Germany, 1871-Present","410","001","64","2.934","7.8","21.9","43.8","12.5","3.1","3.1","3.1","3.1",".",".",".",".",".","1.6",".","."
"History-American Education","412","001","112","2.940","13.4","22.3","27.7","19.6","10.7","0.9","2.7","2.7",".",".",".",".",".",".",".","."
"E Europe Jews in US,1880-1930s","416","001","49","3.119","22.4","32.7","20.4","10.2","6.1","2.0","4.1","2.0",".",".",".",".",".",".",".","."
"History of Soviet Russia","419","001","42","3.139","35.7","23.8","21.4","4.8","4.8","4.8","4.8",".",".",".",".",".",".",".",".","."
"Amer Foreign Rel-1901 on","434","001","138","3.303","19.6","34.8","31.9","10.1","2.2",".",".","1.4",".",".",".",".",".",".",".","."
"Buddhism&Soc-SE Asian Hist","438","001","43","2.975","11.6","20.9","34.9","16.3","14.0","2.3",".",".",".",".",".",".",".",".",".","."
"Islamic Hist:Orig-Ottoman Empr","439","001","53","3.240","52.8",".","34.0",".","5.7",".","7.5",".",".",".",".",".",".",".",".","."
"Hist of Equatorial Africa","445","001","31","3.199","29.0","19.4","25.8","12.9","6.5","3.2",".","3.2",".",".",".",".",".",".",".","."
"History of Medieval India","448","001","55","3.307","25.5","29.1","36.4","3.6","3.6","1.8",".",".",".",".",".",".",".",".",".","."
"Hist SE Asia Since 1800","458","001","39","3.447","33.3","38.5","12.8","7.7",".",".","2.6","2.6",".",".",".",".","2.6",".",".","."
"American West Since 1850","462","001","68","3.401","25.0","41.2","23.5","4.4","1.5","1.5",".","2.9",".",".",".",".",".",".",".","."
"Topics in S Asian History","463","001","14","3.500","35.7","35.7","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"American Economy Since 1865","466","001","14","3.647","42.9","35.7","14.3",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Law & Society-Ancient Athens","477","001","18","3.433","27.8","33.3","5.6","16.7",".",".",".","5.6",".",".",".",".",".",".","11.1","."
"Paideia:Ed in Westrn Cultur","479","001","20","4.000","95.0",".",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"American Indian History","490","001","40","3.285","15.0","35.0","20.0","12.5","2.5",".",".","15.0",".",".",".",".",".",".",".","."
"Reading Seminar in History","500","001","16","3.156","12.5","31.3","37.5","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","11","3.300","27.3","27.3","9.1","27.3",".",".",".","9.1",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","11","3.550","54.5","9.1","18.2",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"","600","001","16","3.281","25.0","31.3","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"","600","002","12","3.250","41.7","8.3","16.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".","."
"","600","003","16","3.281","37.5","31.3","18.8",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","600","004","14","3.429","35.7","28.6","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","600","005","17","3.324","17.6","52.9","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","600","006","15","3.536","53.3","13.3","13.3","6.7","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"","600","007","18","3.361","27.8","27.8","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","600","008","17","3.559","47.1","41.2","5.9",".",".","5.9",".",".",".",".",".",".",".",".",".","."
"","600","009","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","010","12","3.167","25.0","33.3","33.3",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","600","011","16","2.969","6.3","25.0","43.8","6.3","18.8",".",".",".",".",".",".",".",".",".",".","."
"","600","012","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","013","16","3.063","12.5","31.3","31.3","18.8",".","6.3",".",".",".",".",".",".",".",".",".","."
"","600","014","16","3.433","37.5","25.0","18.8","6.3","6.3",".",".",".",".",".",".",".","6.3",".",".","."
"Advanced Seminar in History","","Course Total","215","3.399","39.1","26.5","20.0","7.0","4.7","0.9","0.9",".",".",".",".",".","0.9",".",".","."
"Afro-Amer History to 1900","635","001","8","3.375","37.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Honors Thesis Colloquium","680","002","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","046","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","682","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
