"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","",""
"","101
001","12","2.333","8.3","8.3","25.0","8.3","25.0","25.0",".",".",".",".",".",".",".",".",".","."
"","101
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
101","22","2.762","36.4","4.5","9.1","4.5","22.7","18.2",".",".",".",".",".",".",".","4.5",".","."
"","006
101","14","1.964","7.1",".","21.4","7.1","35.7","14.3","14.3",".",".",".",".",".",".",".",".","."
"","101
007","21","2.333","9.5","4.8","23.8","4.8","38.1","19.0",".",".",".",".",".",".",".",".",".","."
"","101
008","16","1.906",".",".","25.0","6.3","43.8","12.5","12.5",".",".",".",".",".",".",".",".","."
"","101
009","8","2.000","25.0",".",".",".","25.0","25.0","12.5",".",".",".",".",".",".",".",".","12.5"
"Intermediate Algebra","Course Total","98","2.266","14.3","4.1","18.4","5.1","32.7","17.3","6.1",".",".",".",".",".",".","1.0",".","1.0"
"","112
001","17","2.676","23.5","5.9","23.5","11.8","23.5","5.9","5.9",".",".",".",".",".",".",".",".","."
"","112
003","13","2.625","15.4","7.7","15.4","15.4","30.8","7.7",".",".",".",".",".",".",".",".",".","7.7"
"","004
112","14","2.286","14.3",".","35.7",".","21.4","21.4","7.1",".",".",".",".",".",".",".",".","."
"","112
005","19","2.316","21.1","10.5","15.8",".","31.6",".","21.1",".",".",".",".",".",".",".",".","."
"","008
112","16","2.094","6.3","6.3","25.0",".","31.3","25.0","6.3",".",".",".",".",".",".",".",".","."
"","011
112","16","3.033","31.3","6.3","31.3",".","18.8","6.3",".",".",".",".",".",".",".",".","6.3","."
"","112
012","21","1.976","4.8","14.3","14.3",".","38.1","9.5","19.0",".",".",".",".",".",".",".",".","."
"","112
015","17","2.938","23.5","5.9","29.4","5.9","29.4",".",".",".",".",".",".",".",".","5.9",".","."
"","112
018","22","2.250","4.5","4.5","9.1","18.2","59.1",".","4.5",".",".",".",".",".",".",".",".","."
"","112
020","9","2.278",".","11.1","11.1","22.2","44.4","11.1",".",".",".",".",".",".",".",".",".","."
"Algebra","Course Total","164","2.425","14.6","7.3","20.7","6.7","33.5","7.9","7.3",".",".",".",".",".",".","0.6","0.6","0.6"
"","113
001","9","1.500",".",".","22.2","11.1","22.2","11.1","33.3",".",".",".",".",".",".",".",".","."
"","113
002","8","2.375","12.5",".","25.0",".","50.0","12.5",".",".",".",".",".",".",".",".",".","."
"","113
004","16","2.219","12.5","6.3","12.5","25.0","18.8","12.5","12.5",".",".",".",".",".",".",".",".","."
"","113
005","22","2.591","4.5","4.5","36.4","22.7","27.3","4.5",".",".",".",".",".",".",".",".",".","."
"","113
008","20","2.025","10.0","25.0",".",".","30.0","15.0","20.0",".",".",".",".",".",".",".",".","."
"","113
009","18","2.111","5.6","5.6","27.8","16.7","22.2",".","22.2",".",".",".",".",".",".",".",".","."
"","113
010","16","2.656","18.8","6.3","25.0","12.5","31.3",".","6.3",".",".",".",".",".",".",".",".","."
"","012
113","23","2.500","4.3","8.7","30.4","21.7","21.7","13.0",".",".",".",".",".",".",".",".",".","."
"","113
013","19","2.342","15.8",".","31.6","5.3","26.3","10.5","10.5",".",".",".",".",".",".",".",".","."
"","113
016","14","2.308","7.1",".","14.3","28.6","35.7",".","7.1",".",".",".",".",".",".","7.1",".","."
"","017
113","21","2.762","14.3","4.8","33.3","33.3","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"","113
018","20","2.900","25.0","10.0","15.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".","."
"","113
020","14","2.393","21.4",".","21.4","21.4","7.1","21.4","7.1",".",".",".",".",".",".",".",".","."
"","021
113","22","2.500","13.6","18.2","13.6","18.2","13.6","18.2","4.5",".",".",".",".",".",".",".",".","."
"","113
024","17","2.563","17.6","11.8","17.6","11.8","17.6","11.8","5.9",".",".",".",".",".",".","5.9",".","."
"","113
025","16","2.625","12.5","12.5","37.5","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".","."
"","113
027","18","2.278",".",".","38.9","11.1","38.9","5.6","5.6",".",".",".",".",".",".",".",".","."
"Trigonometry","Course Total","293","2.428","11.6","7.5","23.9","16.7","23.5","7.8","8.2",".",".",".",".",".",".","0.7",".","."
"Algebra and Trigonometry","001
114","76","2.580","19.7","9.2","27.6","7.9","15.8","9.2","9.2",".",".",".",".",".","1.3",".",".","."
"","130
001","21","3.119","23.8","4.8","66.7",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","130
002","21","3.095","28.6","19.0","28.6",".","19.0","4.8",".",".",".",".",".",".",".",".",".","."
"","130
003","27","3.074","37.0","7.4","18.5","22.2","7.4","7.4",".",".",".",".",".",".",".",".",".","."
"","004
130","21","3.325","33.3","14.3","38.1",".","9.5",".",".",".",".",".",".",".",".",".",".","4.8"
"Arithmetical Problm Solving","Course Total","90","3.146","31.1","11.1","36.7","6.7","8.9","3.3","1.1",".",".",".",".",".",".",".",".","1.1"
"","131
001","20","2.500","15.0","10.0","25.0","10.0","20.0","15.0","5.0",".",".",".",".",".",".",".",".","."
"","002
131","29","3.569","48.3","24.1","24.1",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","Page 247 of 397",""
