"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","",""
"Set Design I","372
001","","10","3.132","10.0","30.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"","376
001","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","376
002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Photography","Course Total","","30","3.983","96.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Drawing II","Course Total","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Art Foundry","414
001","","13","3.615","61.5","15.4","7.7","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Installations & Environmnts","418
001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
001","","8","3.500","37.5","25.0","37.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","422
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Painting II","Course Total","","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Computer Imaging Techniques","428
001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
001","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
002","","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
003","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448
004","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","65","3.961","95.4","1.5","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Concept&Methodol of Figuration","452
001","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Photography","476
001","","13","3.750","53.8","30.8","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508
001","","104","3.859","84.6","8.7","3.8",".","1.0",".","1.0",".",".",".",".",".",".",".","1.0","."
"Advanced Drawing I","512
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture I","514
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","524
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","524
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","Course Total","","9","3.864","77.8",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Advanced Etching/Intaglio","526
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computer-Mediated Art","528
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","532
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","Course Total","","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Wood Working","534
001","","15","3.133","26.7","20.0","26.7","20.0",".","6.7",".",".",".",".",".",".",".",".",".","."
"Advanced Serigraphy","536
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Watercolor I","542
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Art Metal I","544
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546
001","","10","3.350","70.0",".","10.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"Adv Concpts&Meth-Figuratn I","552
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","001
554","","22","3.482","27.3","45.5","18.2","4.5",".",".",".",".",".",".",".",".",".","4.5",".","."
"Adv Graphic Design Technlgy","556
001","","13","3.423","38.5","53.8",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Advanced Photography","576
001","","8","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 73 of 397"
