"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"943
Research Methods-Social Work","001","","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"945
Evaluation Research","001","","12","3.682","41.7","41.7","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis-Research","Course Total","","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
"991","001","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"991","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work Applicatns of Rsch","Course Total","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"999","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","048","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","049","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","067","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","27","3.859","74.1","3.7","7.4","3.7",".",".",".","11.1",".",".",".",".",".",".",".","."
