"GEOLOGICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","",""
"171
Intro to Geological Engr","001","","25","3.370","20.0","28.0","44.0",".",".",".",".","4.0",".",".",".",".",".","4.0",".","."
"301
Intro-Aerial Photo Systems","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"302
Elec-op&Micro Remote Sensng","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"303
Remote Sensng Digtl Image","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"330
Soil Mechanics","001","","7","3.071","14.3","42.9","14.3",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"475
Rock Mech Appl-Envr Probs","001","","8","3.000","25.0","37.5",".","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".","."
"479
Geological Engr Design","001","","9","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"531
Retaining Structures","001","","7","2.857",".","14.3","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"596
Elect&Electromag Meth-Geophys","001","","8","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"730
Engr Properties of Soils","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"790","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","068","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research or Thesis","Course Total","","9","",".",".",".",".",".",".",".","88.9",".",".",".","11.1",".",".",".","."
"801
Spec Topics-Geological Engr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator's Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"900
Seminar","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"999
Independent Work","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"G L E
418","Dept. Total","","98","3.285","18.4","28.6","22.4","3.1","5.1","1.0",".","18.4",".",".",".","2.0",".","1.0",".","."
