"ASTRONOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"188
ASTRON","","","","","","","","","","","","","","","","","","","",""
"100
Survey of Astronomy","001","","130","2.931","24.6","15.4","16.2","26.2","10.0","6.9","0.8",".",".",".",".",".",".",".",".","."
"103","001","","126","3.037","25.4","16.7","25.4","6.3","19.8","2.4","0.8","3.2",".",".",".",".",".",".",".","."
"103","002","","43","2.774","16.3","11.6","25.6","18.6","16.3","9.3",".","2.3",".",".",".",".",".",".",".","."
"The Evolving Universe","Course Total","","169","2.970","23.1","15.4","25.4","9.5","18.9","4.1","0.6","3.0",".",".",".",".",".",".",".","."
"113","001","","18","2.944","22.2","16.7","22.2","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"113","002","","13","2.875","7.7","7.7","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".","7.7"
"113","003","","19","3.342","26.3","31.6","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"113","006","","15","2.600","6.7",".","40.0","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"Hands on the Universe","Course Total","","65","2.969","16.9","15.4","33.8","18.5","9.2","4.6",".",".",".",".",".",".",".",".",".","1.5"
"200
The Physical Universe","001","","13","3.000","23.1",".","46.2",".","7.7","7.7",".","15.4",".",".",".",".",".",".",".","."
"320
The Interstellar Medium","001","","16","2.967","18.8","18.8","18.8","12.5","25.0",".",".","6.3",".",".",".",".",".",".",".","."
"330
Galaxies","001","","6","2.667","16.7",".","33.3","33.3",".","16.7",".",".",".",".",".",".",".",".",".","."
"500
Tech-Mod Observatl Astrophy","001","","10","3.500","30.0","30.0","30.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"550
Astrodynamics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"620
Smr-Astrophysical Topics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"682
Senior Honors Thesis","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"715
Stellar Interiors&Evolution","001","","7","3.429","28.6","28.6","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"910
Seminar in Astrophysics","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"920
Smnar-Astrophysical Topics","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
