"","990
065","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"","990
079","2","***","","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","11","",".",".",".",".",".","",".",".","72.7",".",".",".","27.3","",".",".",".","."
"Advanced Independent Study","999
037","1","***","","","","","","","","","","",".",".",".",".","",".",".","."
"S&A PHM
732","Dept. Total","487","3.435","38.0","26.3","20.3","8.6","4.1","",".","0.2","1.8",".",".",".","0.6","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","3.333","50.0",".","50.0",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Sophomore","","5","3.846","80.0",".","20.0",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Senior","","9","3.773","77.8",".","22.2",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Undergraduates","","20","3.795","80.0",".","20.0",".",".","",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","28","3.635","32.1","17.9","7.1",".",".","",".",".","32.1",".",".",".","10.7","",".",".",".","."
"Prof Yr 1","","153","3.085","15.0","27.5","29.4","17.6","9.8","",".","0.7",".",".",".",".",".","",".",".",".","."
"Prof Yr 2","","118","3.246","15.3","35.6","34.7","11.9","2.5","",".",".",".",".",".",".",".","",".",".",".","."
"Prof Yr 3","","168","3.812","70.8","23.2","4.2","0.6","1.2","",".",".",".",".",".",".",".","",".",".",".","."
"Professionals","","439","3.408","36.4","28.0","21.2","9.6","4.6","",".","0.2",".",".",".",".",".","",".",".",".","."
"","Dept. Total","487","3.435","38.0","26.3","20.3","8.6","4.1","",".","0.2","1.8",".",".",".","0.6","",".",".",".","."
