"L&S","","","","","","","","","","","","","","","","","","","",""
"GEOGRAPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"GEOG
416","Dept. Total","1610","3.014","24.1","18.6","21.9","13.0","13.7","2.1","1.6","3.0","0.1","0.4","",".","1.1","0.1","0.3",".","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","211","2.840","12.8","14.7","27.5","19.9","22.3","2.4","0.5",".",".",".","",".",".",".",".",".","."
"Sophomore","","412","2.911","16.3","16.7","28.6","18.0","17.2","1.9","1.0","0.2",".",".","",".",".",".",".",".","."
"Junior","","327","2.900","21.4","18.7","22.0","15.0","15.9","2.8","2.4","0.6",".",".","",".",".",".","1.2",".","."
"Senior","","444","3.079","28.4","23.2","19.8","9.5","11.5","2.7","2.3","2.0",".","0.5","",".",".",".","0.2",".","."
"Undergraduates","","1394","2.945","20.8","18.9","24.1","14.8","15.9","2.4","1.6","0.9",".","0.1","",".",".",".","0.4",".","."
"Special","","14","3.449","50.0","14.3","14.3",".",".",".","7.1","14.3",".",".","",".",".",".",".",".","."
"Graduate","","202","3.720","45.0","16.3","7.4","1.0",".",".","0.5","17.3","0.5","2.0","",".","8.4","0.5",".",".","0.5"
"","Dept. Total","1610","3.014","24.1","18.6","21.9","13.0","13.7","2.1","1.6","3.0","0.1","0.4","",".","1.1","0.1","0.3",".","0.1"
