"PHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"General Physics","103","001","322","2.845","16.5","16.5","23.0","22.0","16.5","4.0","1.6",".",".",".",".",".",".",".",".","."
"","104","001","296","2.826","19.3","19.3","16.6","14.9","22.0","7.4","0.7",".",".",".",".",".",".",".",".","."
"","104","002","184","2.652","13.0","15.8","16.3","22.3","22.3","8.7","1.6",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","480","2.759","16.9","17.9","16.5","17.7","22.1","7.9","1.0",".",".",".",".",".",".",".",".","."
"Ideas of Modern Physics","107","001","112","3.360","27.7","32.1","28.6","7.1","2.7","0.9",".",".",".",".",".",".",".","0.9",".","."
"","109","001","54","3.139","16.7","29.6","27.8","16.7","9.3",".",".",".",".",".",".",".",".",".",".","."
"","109","002","109","2.794","11.9","22.0","23.9","17.4","16.5","6.4","1.8",".",".",".",".",".",".",".",".","."
"Physics in the Arts","","Course Total","163","2.908","13.5","24.5","25.2","17.2","14.1","4.3","1.2",".",".",".",".",".",".",".",".","."
"Energy","115","001","26","3.423","34.6","42.3","15.4","3.8",".",".","3.8",".",".",".",".",".",".",".",".","."
"","201","001","166","2.837","13.3","20.5","21.7","24.1","15.7","2.4","2.4",".",".",".",".",".",".",".",".","."
"","201","002","134","2.940","15.7","17.9","26.1","22.4","17.2",".","0.7",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","300","2.883","14.3","19.3","23.7","23.3","16.3","1.3","1.7",".",".",".",".",".",".",".",".","."
"","202","001","185","2.873","13.0","15.7","29.2","24.9","14.6","1.6","1.1",".",".",".",".",".",".",".",".","."
"","202","002","187","2.893","16.0","15.0","28.9","18.2","19.3","2.1","0.5",".",".",".",".",".",".",".",".","."
"General Physics","","Course Total","372","2.883","14.5","15.3","29.0","21.5","16.9","1.9","0.8",".",".",".",".",".",".",".",".","."
"Mod Physics for Engineers","205","001","32","3.156","25.0","12.5","40.6","12.5","9.4",".",".",".",".",".",".",".",".",".",".","."
"General Physics","207","001","156","3.010","22.4","22.4","27.6","12.8","5.8","6.4","2.6",".",".",".",".",".",".",".",".","."
"General Physics","208","001","142","2.891","16.2","21.1","26.8","16.2","12.7","4.2","2.8",".",".",".",".",".",".",".",".","."
"Intro to Modern Physics","241","001","37","2.716","10.8","16.2","21.6","24.3","21.6","2.7","2.7",".",".",".",".",".",".",".",".","."
"Modern Physics","244","001","56","2.741","14.3","8.9","23.2","17.9","35.7",".",".",".",".",".",".",".",".",".",".","."
"A Modern Intro to Physics","248","001","31","3.067","35.5","12.9","22.6","6.5","9.7","6.5","3.2",".",".",".",".",".","3.2",".",".","."
"Intro-Medical Physics","265","001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physics Today","301","001","16","3.563","56.3","37.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","308","001","10","3.350","10.0","70.0","10.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","308","002","9","3.278",".","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","308","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Lab-Electromag","","Course Total","24","3.333","4.2","66.7","25.0",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Mechanics","311","001","56","3.907","83.9","7.1","5.4",".",".",".",".",".",".",".",".",".","1.8","1.8",".","."
"Electromagnetic Fields","322","001","30","3.212","23.3","16.7","26.7","13.3","6.7",".",".",".",".",".",".",".",".","13.3",".","."
"Wave Motion and Optics","325","001","17","3.294","29.4","17.6","35.3","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Acoustics for Musicians","371","001","25","3.160","24.0","36.0","16.0","4.0","16.0","4.0",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","407","001","9","3.733","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thermal Physics","415","001","22","3.455","40.9","18.2","31.8","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Atomic and Quantum Physics","449","001","31","3.506","38.7","25.8","22.6","3.2","3.2",".",".",".",".",".",".",".",".","6.5",".","."
"Sci Bckgrnd-Globl Envr Prob","472","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Physics","505","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Laboratory","507","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Plasmas","525","001","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Quantum Mechanics","531","001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solid State Physics","551","001","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Optics","625","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
