"DAIRY SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"292
DY SCI","","","","","","","","","","","","","","","","","","","",""
"205
Dairy Cattle Selection","001","","20","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"299
Independent Study","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"360
Principles-Animal Breeding","001","","13","3.000","15.4","23.1","38.5","7.7","7.7","7.7",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399
Coord Intrnshp/Cooprtv Educ","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"414
Ruminant Nutrition","001","","15","3.067","33.3","13.3","26.7",".","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"433
Dairy Herd Management","001","","24","3.978","91.7","4.2",".",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"434
Reproductive Physiology","001","","15","2.733","13.3","6.7","20.0","33.3","26.7",".",".",".",".",".",".",".",".",".",".","."
"535
Dairy Farm Mgmt Practicum","001","","19","3.711","52.6","42.1",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","28","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"900","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"900","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"900","006","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar","Course Total","","51","4.000","41.2",".",".",".",".",".",".","58.8",".",".",".",".",".",".",".","."
"931
Seminar in Animal Nutrition","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","38","",".",".",".",".",".",".",".","68.4",".",".",".","31.6",".",".",".","."
