"BUS","","","","","","","","","","","","","","","","","","",""
"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","241","3.172","15.4","22.4","46.5","13.3","0.8","0.4","0.4","0.8",".",".",".",".",".",".",".","."
"","300
002","244","3.198","15.6","23.0","46.3","14.8",".",".",".","0.4",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","485","3.185","15.5","22.7","46.4","14.0","0.4","0.2","0.2","0.6",".",".",".",".",".",".",".","."
"","305
001","44","3.326","22.7","36.4","22.7","13.6","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"","305
002","47","3.521","25.5","53.2","21.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","91","3.428","24.2","45.1","22.0","6.6","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"","310
001","50","3.480","34.0","32.0","32.0",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"","310
002","44","3.511","38.6","34.1","22.7",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","94","3.495","36.2","33.0","27.7",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","001
365","17","3.573","41.2","35.3","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
207","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
213","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"","001
415","51","3.510","39.2","39.2","17.6",".",".","3.9",".",".",".",".",".",".",".",".",".","."
"","003
415","48","3.585","33.3","50.0","12.5","2.1",".",".",".","2.1",".",".",".",".",".",".",".","."
"Marketing Communications","Course Total","99","3.546","36.4","44.4","15.2","1.0",".","2.0",".","1.0",".",".",".",".",".",".",".","."
"","001
425","39","3.355","10.3","48.7","38.5",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","002
425","41","3.402","12.2","56.1","31.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","80","3.380","11.3","52.5","35.0",".",".",".",".","1.3",".",".",".",".",".",".",".","."
"Product & Price Management","001
430","39","3.658","33.3","61.5","2.6",".",".",".",".","2.6",".",".",".",".",".",".",".","."
"","460
003","41","3.756","58.5","34.1","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
004","28","3.589","28.6","60.7","10.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","460
005","47","3.670","42.6","48.9","8.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","116","3.681","44.8","46.6","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sales Management","001
635","47","3.755","55.3","40.4","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","44","3.116","20.5","20.5","36.4","11.4","4.5","4.5",".","2.3",".",".",".",".",".",".",".","."
"","002
640","43","2.942","11.6","23.3","30.2","16.3","16.3","2.3",".",".",".",".",".",".",".",".",".","."
"Retail Management","Course Total","87","3.029","16.1","21.8","33.3","13.8","10.3","3.4",".","1.1",".",".",".",".",".",".",".","."
"","700
001","38","3.513","13.2","76.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
030","34","3.603","20.6","79.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","72","3.556","16.7","77.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","710
001","36","3.458","27.8","36.1","36.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Marketing Strategy","720
001","23","3.391","17.4","47.8","30.4","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","730
001","41","3.707","48.8","43.9","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","730
030","38","3.618","42.1","42.1","13.2","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Product & Price Management","Course Total","79","3.665","45.6","43.0","10.1","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Strategy","746
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","22","3.523","22.7","59.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
765","38","3.276","13.2","34.2","47.4","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","765
003","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","71","3.451","26.8","39.4","31.0","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","799
131","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
144","1","***","","","","","","","","","",".",".",".",".",".",".","."
