"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","",""
"","101
002","21","3.632","47.6","28.6","4.8","9.5",".",".",".","9.5",".",".",".",".",".",".",".","."
"","101
004","14","3.423","28.6","35.7","14.3","14.3",".",".",".","7.1",".",".",".",".",".",".",".","."
"","006
101","15","3.433","33.3","40.0","13.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","007
101","16","3.156","12.5","56.3","6.3","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"","101
008","21","3.286","28.6","42.9","9.5","14.3",".",".","4.8",".",".",".",".",".",".",".",".","."
"","009
101","17","3.625","41.2","41.2","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".","."
"","101
010","16","3.700","43.8","43.8","6.3",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"First Semester French","Course Total","120","3.461","34.2","40.8","8.3","9.2","1.7","0.8","0.8","3.3",".",".",".",".",".",".","0.8","."
"","003
102","21","3.175","14.3","33.3","28.6","9.5","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","004
102","21","3.175","14.3","42.9","14.3","9.5","14.3",".",".","4.8",".",".",".",".",".",".",".","."
"","006
102","24","3.261","25.0","29.2","29.2","4.2","4.2","4.2",".","4.2",".",".",".",".",".",".",".","."
"","102
008","22","3.682","63.6","13.6","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","24","3.022","25.0","25.0","12.5","20.8","4.2","4.2","4.2","4.2",".",".",".",".",".",".",".","."
"Second Semester French","Course Total","112","3.264","28.6","28.6","20.5","9.8","6.3","1.8","0.9","3.6",".",".",".",".",".",".",".","."
"Second Sem French Honors","182
001","15","3.375","26.7","20.0","20.0","13.3",".",".",".","6.7","6.7",".",".",".",".",".","6.7","."
"","203
001","17","2.500",".","11.8","35.3","17.6","23.5","11.8",".",".",".",".",".",".",".",".",".","."
"","203
002","17","2.594","5.9","41.2","5.9",".","29.4",".","11.8",".",".",".",".",".",".",".",".","5.9"
"","203
004","19","3.083","15.8","26.3","36.8","10.5",".",".","5.3","5.3",".",".",".",".",".",".",".","."
"","005
203","17","3.294","35.3","17.6","23.5","17.6","5.9",".",".",".",".",".",".",".",".",".",".","."
"","007
203","23","2.905","21.7","13.0","13.0","21.7","17.4","4.3",".","8.7",".",".",".",".",".",".",".","."
"Third Semester French","Course Total","93","2.882","16.1","21.5","22.6","14.0","15.1","3.2","3.2","3.2",".",".",".",".",".",".",".","1.1"
"","204
001","22","3.114","9.1","45.5","13.6","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"","204
002","16","3.250","25.0","37.5","6.3","25.0","6.3",".",".",".",".",".",".",".",".",".",".","."
"","204
004","17","3.294","29.4","23.5","29.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".","."
"","204
006","18","3.472","27.8","38.9","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","204
008","17","3.188","11.8","52.9","17.6","5.9",".",".","5.9","5.9",".",".",".",".",".",".",".","."
"Fourth Semester French","Course Total","90","3.258","20.0","40.0","20.0","13.3","4.4",".","1.1","1.1",".",".",".",".",".",".",".","."
"","227
001","17","3.706","47.1","47.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
227","11","3.273","18.2","36.4","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","227
003","16","3.656","62.5","12.5","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","227
005","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","56","3.643","51.8","30.4","14.3","1.8","1.8",".",".",".",".",".",".",".",".",".",".","."
"","228
002","20","3.556","45.0","30.0","10.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"","228
003","22","3.152","9.1","36.4","36.4",".","13.6",".",".","4.5",".",".",".",".",".",".",".","."
"","228
004","23","2.897","8.7","13.0","26.1","26.1","8.7",".",".","17.4",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","65","3.200","20.0","26.2","24.6","10.8","9.2",".",".","9.2",".",".",".",".",".",".",".","."
"","271
002","18","3.750","55.6","38.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
003","24","3.458","20.8","54.2","20.8","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","271
004","22","3.705","45.5","50.0","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","64","3.625","39.1","48.4","10.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Sem French-Honors","283
001","17","3.706","58.8","23.5","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","15","3.267","26.7","46.7","13.3","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","288
001","12","3.619","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
