"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","",""
"Consumer Finance","275
001","108","3.145","31.5","20.4","23.1","4.6","14.8","3.7","0.9","0.9",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350
001","73","3.824","67.1","26.0","4.1",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370
001","24","3.729","70.8","16.7","4.2","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"","470
001","29","3.534","24.1","65.5","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".","."
"","002
470","28","3.339","14.3","50.0","25.0","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Hist-Consumr Movemnts in US","Course Total","57","3.439","19.3","57.9","14.0","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hist of Motherhood in Amer","473
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"The Consumer and the Market","477
001","91","2.489","6.6","14.3","15.4","28.6","20.9","13.2","1.1",".",".",".",".",".",".",".",".","."
"Consumer Information","001
478","34","3.353","38.2","20.6","26.5","8.8","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Prep for Retailng Internshp","503
001","32","3.734","65.6","25.0","3.1","3.1","3.1",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","532
001","21","3.500","28.6","47.6","19.0","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Retail Promotion","560
001","37","3.527","45.9","29.7","18.9",".","2.7","2.7",".",".",".",".",".",".",".",".",".","."
"","565
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","565
002","16","3.719","62.5","18.8","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","Course Total","33","3.803","72.7","15.2","12.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601
015","27","3.910","81.5","14.8",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Field Experience-Retailing","602
015","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Retailing Internship","603
015","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Economc Organizatn-Househld","648
001","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","657
001","39","3.500","46.2","12.8","35.9","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","657
002","61","3.893","83.6","13.1","1.6","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","100","3.740","69.0","13.0","15.0","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665
001","28","3.286","25.0","21.4","50.0",".",".","3.6",".",".",".",".",".",".",".",".",".","."
"Family Financial Counseling","675
001","57","3.123","19.3","40.4","24.6","1.8","5.3","5.3","3.5",".",".",".",".",".",".",".",".","."
"","699
005","34","3.972","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
009","25","3.900","84.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","61","3.935","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
020","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","5","***","","","","","","","","","","","","","","","",""
"","999
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
011","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","3","***","","","","","","","","","","","","","","","",""
