"GEOLOGY & GEOPHYSICS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"420
GEOLOGY","","","","","","","","","","","","","","","","","","","",""
"","100","001","138","2.836","13.0","15.9","29.7","18.1","16.7","5.8",".","0.7",".",".",".",".",".",".",".","."
"","100","002","139","2.595","12.2","4.3","33.1","13.7","26.6","5.0","3.6","1.4",".",".",".",".",".",".",".","."
"General Geology","","Course Total","277","2.715","12.6","10.1","31.4","15.9","21.7","5.4","1.8","1.1",".",".",".",".",".",".",".","."
"General Geology","101","001","105","2.562","15.2","8.6","22.9","8.6","32.4","10.5","1.9",".",".",".",".",".",".",".",".","."
"","102","003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","102","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Elementary Geology Lab","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Survey of Oceanography","105","001","28","2.861","17.9","21.4","14.3","10.7","21.4","7.1",".","7.1",".",".",".",".",".",".",".","."
"Environmental Geology","106","001","71","3.093","23.9","25.4","14.1","18.3","15.5","1.4",".",".",".",".",".",".",".",".","1.4","."
"Life of the Past","107","001","42","3.012","31.0","16.7","14.3","9.5","26.2",".","2.4",".",".",".",".",".",".",".",".","."
"Evolution and Extinction","110","001","185","2.587","17.3","9.2","28.6","2.7","24.9","13.5","3.2",".",".",".",".",".",".","0.5",".","."
"Mountains and Moving Plates","112","001","189","2.610","10.6","5.8","32.8","9.5","30.7","3.7","2.6","2.1",".",".",".",".",".","2.1",".","."
"Sci Behind News-Wrld Around Us","115","001","258","2.764","10.1","13.6","21.7","27.5","18.6","0.8","1.6","4.7",".",".",".",".",".","1.6",".","."
"Directed Study","198","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","199","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Earth Materials","203","001","39","2.855","17.9","15.4","23.1","12.8","23.1","5.1",".","2.6",".",".",".",".",".",".",".","."
"Geologic Evolution of Earth","204","001","48","2.404","4.2","12.5","25.0","12.5","27.1","14.6","2.1","2.1",".",".",".",".",".",".",".","."
"Geobiology","304","001","18","2.583","11.1","16.7","27.8",".","27.8","16.7",".",".",".",".",".",".",".",".",".","."
"","306","001","401","3.069","13.2","20.2","38.4","16.0","6.2","0.7","0.7","4.0",".",".",".",".","0.2","0.2",".","."
"","306","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gems and Precious Stones","","Course Total","402","3.069","13.2","20.1","38.6","15.9","6.2","0.7","0.7","4.0",".",".",".",".","0.2","0.2",".","."
"Landforms-Topics & Regions","326","001","15","3.067","20.0","26.7","20.0","13.3","20.0",".",".",".",".",".",".",".",".",".",".","."
"The Age of Dinosaurs","333","001","384","3.006","21.6","16.1","21.1","13.0","12.2","2.1","2.1","11.7",".",".",".",".",".",".",".","."
"Topics in Geology","376","002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Glacial&Pleistocene Geology","420","001","28","2.893","14.3","14.3","35.7","7.1","28.6",".",".",".",".",".",".",".",".",".",".","."
"Principles of Stratigraphy","430","001","20","3.556","35.0","30.0","25.0",".",".",".",".","5.0",".",".",".",".",".","5.0",".","."
"Structural Geology","455","001","26","2.981","11.5","23.1","26.9","26.9","11.5",".",".",".",".",".",".",".",".",".",".","."
"Geologic Field Methods","456","001","14","3.143","21.4","28.6","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Conducted Field Trip","457","001","10","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science and Government","512","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"The Quaternary Period","527","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","023","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"Directed Study","698","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","4","***","","","","","","","","","","","","","","","",""
