"","996
007","3","***","","","","","","","","","",".",".",".",".","",".",".","."
"","996
015","5","***","","","","","","","","","",".",".",".",".","",".",".","."
"","996
041","4","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research-Plant Physiology","Course Total","12","",".",".",".",".",".",".",".","91.7","8.3",".",".",".","",".",".",".","."
"BOTANY
208","Dept. Total","916","3.131","38.5","11.6","20.6","8.4","10.9","3.2","1.0","5.0","0.2",".",".","0.3","",".",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"208
BOTANY","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","88","3.071","31.8","14.8","28.4","10.2","9.1","4.5","1.1",".",".",".",".",".","",".",".",".","."
"Sophomore","","237","2.986","32.1","10.1","21.9","13.1","17.3","4.2","0.8",".",".",".",".",".","",".",".","0.4","."
"Junior","","193","3.090","32.6","16.6","24.9","8.3","13.5","3.6","0.5",".",".",".",".",".","",".",".",".","."
"Senior","","276","3.215","44.2","12.3","21.0","7.6","8.7","2.9","1.8",".","0.4",".",".","0.7","",".",".","0.4","."
"Undergraduates","","794","3.095","36.4","13.0","23.0","9.7","12.5","3.7","1.1",".","0.1",".",".","0.3","",".",".","0.3","."
"Special","","7","3.065","14.3","14.3","42.9",".","14.3",".",".","14.3",".",".",".",".","",".",".",".","."
"Graduate","","116","3.911","54.3","1.7","2.6",".",".",".",".","39.7","0.9",".",".","0.9","",".",".",".","."
"","Dept. Total","917","3.131","38.5","11.6","20.6","8.4","10.9","3.2","1.0","5.1","0.2",".",".","0.3","",".",".","0.2","."
