"DANCE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","41
001","35","3.896","57.1","8.6","2.9",".",".",".",".","31.4",".",".",".",".",".",".",".","."
"","41
002","37","3.569","21.6","45.9","10.8",".",".",".",".","16.2","5.4",".",".",".",".",".",".","."
"","003
41","37","3.845","64.9","8.1","2.7",".","2.7",".",".","21.6",".",".",".",".",".",".",".","."
"","41
004","40","3.594","30.0","35.0","15.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"","005
41","38","3.985","84.2","2.6",".",".",".",".",".","13.2",".",".",".",".",".",".",".","."
"","41
006","34","3.519","26.5","29.4","23.5",".",".",".",".","20.6",".",".",".",".",".",".",".","."
"","41
007","39","3.868","74.4","7.7","2.6",".","2.6",".",".","12.8",".",".",".",".",".",".",".","."
"Ballroom Dancing","Course Total","260","3.757","51.5","19.6","8.1",".","0.8",".",".","19.2","0.8",".",".",".",".",".",".","."
"Ballroom Dance II","001
42","27","3.904","85.2","3.7","7.4",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Advanced Sound Design","430
001","9","3.444","44.4","33.3",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".","."
"","452
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","452
002","9","3.750","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dance Repertory Theater","Course Total","14","3.714","50.0","35.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"Javanese Performance Repertory","001
453","13","3.909","76.9",".","7.7",".",".",".",".","7.7",".",".",".",".",".","7.7",".","."
"","560
001","23","3.595","43.5","21.7","26.1",".",".",".",".","8.7",".",".",".",".",".",".",".","."
"","560
002","27","3.796","74.1","11.1","14.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics-Dance:Wkshp","Course Total","50","3.708","60.0","16.0","20.0",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"Advanced Video Design","001
565","14","3.679","64.3","21.4","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"","699
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Project","Course Total","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"DANCE
741","Dept. Total","923","3.685","58.3","20.0","8.5","1.6","1.4","0.7","0.2","8.5","0.2","0.1",".",".",".","0.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"Freshmen","","91","3.639","56.0","25.3","9.9","2.2","4.4",".",".","1.1",".",".",".",".",".","1.1",".","."
"Sophomore","","176","3.701","63.6","18.2","9.7","2.3","1.1","0.6",".","4.5",".",".",".",".",".",".",".","."
"Junior","","214","3.700","62.1","20.1","9.3","3.3","0.5",".",".","3.7",".",".",".",".",".","0.5","0.5","."
"Senior","","378","3.651","54.5","20.9","7.9","0.3","1.6","1.3","0.5","12.4","0.3",".",".",".",".","0.3",".","."
"Undergraduates","","859","3.675","58.4","20.6","8.8","1.6","1.5","0.7","0.2","7.5","0.1",".",".",".",".","0.3","0.1","."
"Special","","16","3.714","62.5","12.5","12.5","6.3",".",".",".",".",".",".",".",".",".","6.3",".","."
"Graduate","","42","3.908","47.6","14.3",".",".",".",".",".","33.3","2.4","2.4",".",".",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 3","","5","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","923","3.685","58.3","20.0","8.5","1.6","1.4","0.7","0.2","8.5","0.2","0.1",".",".",".","0.4","0.1","."
