"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"","151","001","22","3.310","4.5","63.6","13.6","13.6",".",".",".","4.5",".",".",".",".",".",".",".","."
"","151","002","19","3.750","57.9","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","5.3"
"Intro-Contemp Afro-Am Soc","","Course Total","41","3.513","29.3","46.3","12.2","7.3",".",".",".","2.4",".",".",".",".",".",".",".","2.4"
"Directed Study","199","020","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Black Women Writers","222","001","54","3.123","20.4","29.6","29.6","5.6","9.3",".","3.7",".",".",".",".",".","1.9",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","17","3.559","58.8","17.6","11.8",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","63","2.914","15.9","22.2","27.0","12.7","4.8","4.8","4.8","7.9",".",".",".",".",".",".",".","."
"Latin America-Introduction","260","001","9","3.389","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Lit: 1930s to Present","268","001","110","3.291","24.5","34.5","26.4","7.3","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","86","2.787","23.3","10.5","26.7","4.7","18.6","7.0","4.7","3.5",".",".",".",".",".","1.2",".","."
"Africa: Introductory Survey","277","001","33","3.045","15.2","30.3","33.3","15.2",".",".","6.1",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","21","3.310","42.9","14.3","14.3","19.0","9.5",".",".",".",".",".",".",".",".",".",".","."
"Mus Cultr: Afr, Eur, Amers","400","001","8","3.250","12.5","37.5","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Hist Afro-Am Upper Midwest","430","001","52","3.039","25.0","11.5","30.8","15.4","11.5","3.8",".","1.9",".",".",".",".",".",".",".","."
"Discrimntn&Prejudice-Am Soc","442","001","37","3.484","37.8","18.9","21.6","5.4","2.7",".",".","10.8",".",".",".",".",".",".","2.7","."
"Slavery in the Amer South","467","001","23","3.326","30.4","26.1","26.1","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"Smr:Afro-Am Music Hist&Crit","509","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"African Amer Political Theory","519","001","23","3.152","21.7","30.4","13.0","26.1","8.7",".",".",".",".",".",".",".",".",".",".","."
"The Afro-American Family","521","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Major Authors","525","001","26","3.423","38.5","23.1","26.9","7.7","3.8",".",".",".",".",".",".",".",".",".",".","."
"Hist-Educ of Black Americns","567","001","20","3.525","30.0","50.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Blacks in Cities","577","001","7","2.571",".",".","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"Crit&Theor Iss: Afro-Am Lit","605","001","14","3.607","71.4",".","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Prison Narratv-Africn Diaspora","612","001","10","3.250","20.0","20.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Afro-Amer History to 1900","635","001","17","3.412","23.5","41.2","29.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Afr Diaspra ArtHist","643","001","16","3.800","56.3","37.5",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"","671","001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","671","002","12","3.375","16.7","50.0","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","671","003","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","","Course Total","32","3.578","43.8","31.3","21.9","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am Society","673","001","8","3.214","12.5","12.5","62.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Topics on Afro-Amer Artists","674","001","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","6","3.955","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","18","3.291","27.8","22.2","44.4",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","699","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","28","3.494","50.0","17.9","28.6",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","790","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","017","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 156 of 397",""
