"ENGR PROFESSIONAL DEVELO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"348
E P D","","","","","","","","","","","","","","","","","","",""
"Contemp Iss-Engr Profession","101
001","227","3.764","57.7","38.8","0.4","1.8","0.4",".",".",".",".",".",".",".","0.9",".",".","."
"","155
001","12","2.833","41.7",".","25.0","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","155
002","20","3.575","45.0","35.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
003","21","3.643","38.1","52.4","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
155","19","3.083","5.3","47.4","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".","5.3"
"","155
005","15","3.433","40.0","26.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","006
155","19","3.237","26.3","15.8","42.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","155
007","17","3.063","11.8","17.6","41.2","17.6","5.9",".",".",".",".",".",".",".",".",".",".","5.9"
"","155
008","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","155
009","19","2.789","10.5","10.5","26.3","31.6","21.1",".",".",".",".",".",".",".",".",".",".","."
"","155
010","22","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
011","20","2.825",".","10.0","55.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"","155
012","19","3.579","36.8","42.1","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","155
013","20","3.125","15.0","40.0","25.0","15.0",".",".","5.0",".",".",".",".",".",".",".",".","."
"","155
014","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Communication","Course Total","262","3.337","32.1","29.0","22.9","10.3","3.4",".","1.5",".",".",".",".",".",".",".",".","0.8"
"Introduction to Engineering","160
001","199","3.604","45.2","37.7","10.6","4.5","0.5",".","0.5",".",".",".",".",".","0.5",".",".","0.5"
"","199
017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
042","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Freshman Independent Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"","001
275","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
275","19","3.711","63.2","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","275
003","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Presentations","Course Total","56","3.768","66.1","25.0","5.4","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Sophomore Independent Study","299
042","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","374
002","7","",".",".",".",".",".",".",".","14.3",".","85.7",".",".",".",".",".","."
"","374
003","7","",".",".",".",".",".",".",".",".",".","85.7",".",".",".",".",".","."
"Intermed Tech Japanese I","Course Total","17","",".",".",".",".",".",".",".","5.9",".","88.2",".",".",".",".",".","."
"Elems: Comp-Assist Publishg","395
001","8","3.563","37.5","37.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Communication","397
001","159","3.623","49.1","31.4","17.0","0.6","0.6",".","0.6",".",".",".",".",".",".","0.6",".","."
"Tech Communications Intrshp","398
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Independent Study","399
042","7","3.750","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","413
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","413
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","413
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Japanese for Bus & Industry","Course Total","5","***","","","","","","","","","","","","","","","",""
"Technical Editing","497
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Professnl Communicatn","597
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engr Economics & Management","611
001","30","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technical Project Management","612
001","30","3.550","26.7","56.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","617
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
