"","999
006","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
013","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","999
014","1","***","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Independent Reading","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"RP & SE
194","Dept. Total","691","3.808","67.7","18.1","7.2","1.0","0.6","",".","0.3","2.7","",".",".","",".","2.3","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"194
RP & SE","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","31","3.613","54.8","32.3","9.7",".",".","",".","3.2",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","115","3.552","46.1","29.6","19.1","2.6","1.7","",".","0.9",".","",".",".","",".",".","",".",".",".","."
"Junior","","110","3.832","72.7","21.8","4.5",".","0.9","",".",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","251","3.879","78.9","16.3","4.4",".","0.4","",".",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","507","3.789","68.6","21.5","8.1","0.6","0.8","",".","0.4",".","",".",".","",".",".","",".",".",".","."
"Special","","20","3.852","75.0","20.0","5.0",".",".","",".",".",".","",".",".","",".",".","",".",".",".","."
"Graduate","","164","3.875","64.0","7.3","4.9","2.4",".","",".",".","11.6","",".",".","",".","9.8","",".",".",".","."
"","Dept. Total","691","3.808","67.7","18.1","7.2","1.0","0.6","",".","0.3","2.7","",".",".","",".","2.3","",".",".",".","."
