"ENGLISH","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"350
ENGLISH","","","","","","","","","","","","","","","","","","","","",""
"Modern Critical Theories","","Course Total","","55","3.519","40.0","27.3","25.5","5.5",".",".",".",".",".",".",".",".",".",".","1.8","."
"Women's Traditions in Novel","570","001","","31","3.484","25.8","45.2","29.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Women Writng&Fem Thry","574","001","","27","3.481","33.3","40.7","14.8","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topic-Ethnic&Multicultr Lit","591","001","","47","3.696","44.7","51.1",".",".","2.1",".",".","2.1",".",".",".",".",".",".",".","."
"Lit-Jewish Identity in Amer","593","001","","33","3.379","18.2","45.5","30.3","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"","595","001","","16","3.563","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","595","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Asian Amer Women Writers","","Course Total","","20","3.425","30.0","55.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Major American Novelists","609","001","","28","2.923","35.7","14.3","25.0",".",".","3.6","14.3","3.6",".",".",".",".",".",".",".","3.6"
"3 Amer Authors Before 1865","621","001","","37","3.027","18.9","16.2","43.2","5.4","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"Maj Amer Novelists-1914-45","635","001","","42","2.988","16.7","14.3","31.0","21.4","9.5","2.4",".","2.4",".",".",".",".",".",".",".","2.4"
"Topics-Multicultrl Amer Lit","662","001","","15","3.467","46.7","6.7","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics:Afro-Am Lit","672","001","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","682","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Honors Thesis in Major","","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Senior Thesis","691","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","114","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","122","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","27","3.957","88.9","7.4",".",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Intro-Composition Studies","700","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing and Learning","701","001","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Contemporary Compositn Thry","704","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch on English as 2nd Lang","711","001","","10","3.600","60.0","10.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Topc-Contmp English Linguis","713","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","723","001","","14","3.538","42.9","28.6","7.1","14.3",".",".",".",".",".",".",".",".","7.1",".",".","."
"","723","002","","11","3.450","27.3","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"Crit Meth-Brit & Amer Lit","","Course Total","","25","3.500","36.0","28.0","20.0","8.0",".",".",".",".",".",".",".",".","4.0",".","4.0","."
"Feminist Theory & Criticism","737","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chaucer & Courtly Tradition","751","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
