"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","11892","3.697","55.6","16.7","9.1","2.1","1.8","0.4","0.5","7.2","0.1","4.7","0.0","0.8","0.6","0.2","0.1","0.1"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","767","3.387","42.9","24.3","16.6","3.4","6.5","0.9","1.7","3.0",".",".",".",".",".",".",".","0.8"
"Sophomore","","1459","3.499","46.1","24.5","15.4","4.2","3.2","1.0","0.8","4.2","0.1","0.1",".",".",".","0.2","0.1","0.1"
"Junior","","2195","3.609","51.4","23.4","12.8","3.1","2.3","0.2","0.6","4.5","0.0","1.2",".",".","0.0","0.2",".","."
"Senior","","4566","3.723","56.2","15.7","8.2","1.7","1.3","0.3","0.4","5.5","0.0","10.4","0.0",".",".","0.2","0.1","0.0"
"Undergraduates","","8987","3.632","52.3","19.8","11.2","2.6","2.3","0.5","0.6","4.8","0.0","5.6","0.0",".","0.0","0.2","0.0","0.1"
"Special","","517","3.807","60.3","11.6","3.5","1.9","1.4","0.2","0.6","11.8",".","3.9",".",".","2.3","0.8","1.7","."
"Graduate","","2334","3.924","67.4","6.1","2.4","0.3","0.2","0.0",".","14.8","0.2","1.8",".","4.3","2.4",".","0.0","0.0"
"Prof Yr 1","","7","3.955","57.1","14.3",".",".",".",".",".","28.6",".",".",".",".",".",".",".","."
"Prof Yr 2","","9","3.714","22.2","22.2",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"Prof Yr 3","","37","3.889","56.8","10.8","5.4",".",".",".",".","24.3","2.7",".",".",".",".",".",".","."
"Prof Yr 4","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","54","3.869","50.0","14.8","3.7",".",".",".",".","29.6","1.9",".",".",".",".",".",".","."
"","College Total","11892","3.697","55.6","16.7","9.1","2.1","1.8","0.4","0.5","7.2","0.1","4.7","0.0","0.8","0.6","0.2","0.1","0.1"
