"AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","",""
"215","001","","67","2.866","19.4","14.9","29.9","11.9","14.9","7.5","1.5",".",".",".",".",".",".",".",".","."
"215","002","","134","3.000","18.7","13.4","37.3","13.4","14.2","2.2",".",".",".",".",".",".",".",".",".","0.7"
"Intro to Agr & Applied Econ","Course Total","","201","2.955","18.9","13.9","34.8","12.9","14.4","4.0","0.5",".",".",".",".",".",".",".",".","0.5"
"306
The Real Estate Process","001","","6","2.083",".","16.7","16.7",".","50.0",".","16.7",".",".",".",".",".",".",".",".","."
"323
Cooperatives","001","","46","2.707","15.2","26.1","17.4","6.5","19.6","10.9","4.3",".",".",".",".",".",".",".",".","."
"340
Issues in Food Systems","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"343
Environmental Economics","001","","8","2.661","12.5","12.5","50.0",".",".","25.0",".",".",".",".",".",".",".",".",".","."
"374
Growth&Develpmt Global Econ","001","","27","3.423","44.4","7.4","33.3","7.4","3.7",".",".","3.7",".",".",".",".",".",".",".","."
"375
Special Topics","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","","2","***","","","","","","","","","","","","","","","",""
"419
Agricultural Finance","001","","13","3.231","46.2",".","30.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".","."
"426
Quant Mthds-Ag & Appl Econ","001","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"477
Agri & Econ Development-Africa","001","","10","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"575","001","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"575","002","","16","3.844","81.3","6.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","23","3.848","82.6","4.3","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"635
Applied Microeconomic Thry","001","","23","3.348","39.1","8.7","39.1","8.7","4.3",".",".",".",".",".",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","13","3.984","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"706
Applied Risk Analysis","001","","9","3.813","66.7","11.1","11.1",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"732
Microeconomics-Ag Develpmt","001","","8","3.571","25.0","50.0","12.5",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"744
Regional Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799
Pract:Ag&Appl Econ Teaching","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","6","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","19","",".",".",".",".",".",".",".","78.9",".",".",".","21.1",".",".",".","."
"999
Spec Work-Ag & Appl Economics","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
