"PORTUGUESE (SPANISH & POR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"101
001","10","3.000","20.0",".","50.0",".","20.0",".",".","10.0",".","",".",".","",".","",".",".",".","."
"101
002","21","2.500","19.0","4.8","23.8","14.3","14.3","9.5","9.5",".",".","",".",".","",".","",".","4.8",".","."
"101
003","20","2.950","30.0","10.0","25.0",".","30.0","5.0",".",".",".","",".",".","",".","",".",".",".","."
"101
004","20","2.750","20.0","15.0","15.0","15.0","25.0","10.0",".",".",".","",".",".","",".","",".",".",".","."
"101
005","23","2.848","26.1","8.7","21.7","30.4","4.3",".","8.7",".",".","",".",".","",".","",".",".",".","."
"006
101","11","3.045","27.3","18.2","18.2","9.1","27.3",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
1st Semester Portuguese","105","2.816","23.8","9.5","23.8","13.3","19.0","4.8","3.8","1.0","",".",".","",".","",".",".","1.0",".","."
"201
001","14","2.618","21.4","14.3","14.3","14.3","21.4","7.1","7.1",".",".","",".",".","",".","",".",".",".","."
"201
002","15","3.033","40.0","6.7","26.7",".","20.0",".","6.7",".",".","",".",".","",".","",".",".",".","."
"Course Total
3rd Semester Portuguese","29","2.835","31.0","10.3","20.7","6.9","20.7","3.4","6.9",".","",".",".","",".","",".",".",".",".","."
"225
001
3rd Yr Conversatn&Compositn","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"301
001
Intensive Portuguese","23","3.630","60.9","13.0","17.4","8.7",".",".",".",".",".","",".",".","",".","",".",".",".","."
"311
001
4th Yr Compositn&Conversatn","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"429
001
Intro to Romance Languages","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"467
001
Survey-Port Lit since 1825","12","3.708","66.7","8.3","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"699
022
Directed Study","11","3.579","45.5","36.4","18.2",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"707
001
Portuguese M.A. Proseminar","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"751
001
Seminar: Brazilian Literature","6","4.000","83.3",".",".",".",".",".",".",".",".","",".",".","",".","","16.7",".",".","."
"990
032
Thesis","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"PORTUG
Dept. Total
782","205","3.073","36.1","13.7","20.5","8.8","12.7","2.9","2.9","1.0","",".","0.5","",".","",".","0.5","0.5",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","11","2.909","9.1","9.1","45.5","27.3","9.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","50","2.625","18.0","18.0","14.0","12.0","22.0","8.0","6.0",".","",".",".","",".","",".",".","2.0",".","."
"Junior","51","2.997","27.5","13.7","29.4","11.8","11.8","2.0","3.9",".","",".",".","",".","",".",".",".",".","."
"Senior","61","3.260","44.3","16.4","19.7","4.9","11.5","1.6","1.6",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","173","2.970","29.5","15.6","22.5","10.4","14.5","3.5","3.5",".","",".",".","",".","",".",".","0.6",".","."
"Special","5","3.053","20.0","20.0","40.0",".","20.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","27","3.948","81.5",".","3.7",".",".",".",".","7.4","",".","3.7","",".","",".","3.7",".",".","."
"Dept. Total","205","3.073","36.1","13.7","20.5","8.8","12.7","2.9","2.9","1.0","",".","0.5","",".","",".","0.5","0.5",".","."
