"EDU","","","","","","","","","","","","","","","","","","","",""
"PHYSICAL EDUC ACTIVITY PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","","",""
"","175
001","","23","3.000","21.7","26.1","21.7",".","13.0","4.3","4.3","8.7",".",".",".",".",".",".",".","."
"","175
002","","25","3.283","28.0","24.0","20.0","12.0","8.0",".",".","8.0",".",".",".",".",".",".",".","."
"","175
003","","30","3.400","26.7","26.7","23.3",".","6.7",".",".","13.3",".",".",".",".",".",".",".","3.3"
"Volleyball I","Course Total","","78","3.239","25.6","25.6","21.8","3.8","9.0","1.3","1.3","10.3",".",".",".",".",".",".",".","1.3"
"Softball","001
179","","17","3.781","52.9","41.2",".",".",".",".",".","5.9",".",".",".",".",".",".",".","."
"","201
001","","13","3.455","23.1","30.8","30.8",".",".",".",".","15.4",".",".",".",".",".",".",".","."
"","201
002","","22","3.500","22.7","27.3","13.6","4.5",".",".",".","31.8",".",".",".",".",".",".",".","."
"Intermediate Swimming","Course Total","","35","3.481","22.9","28.6","20.0","2.9",".",".",".","25.7",".",".",".",".",".",".",".","."
"","211
001","","17","3.929","70.6","11.8",".",".",".",".",".","11.8",".",".",".",".",".","5.9",".","."
"","211
002","","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
211","","21","3.469","42.9","4.8","19.0",".","9.5",".",".","23.8",".",".",".",".",".",".",".","."
"Intro to Martial Arts","Course Total","","56","3.792","67.9","7.1","7.1",".","3.6",".",".","12.5",".",".",".",".",".","1.8",".","."
"Weight Training II","232
001","","21","3.452","28.6","33.3","38.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Golf II","238
001","","13","3.500",".","76.9",".",".",".",".",".","23.1",".",".",".",".",".",".",".","."
"Power Skating","244
001","","22","3.438","31.8","18.2","9.1","9.1","4.5",".",".","22.7",".",".",".",".",".","4.5",".","."
"","262
001","","20","3.857","50.0","20.0",".",".",".",".",".","30.0",".",".",".",".",".",".",".","."
"","262
002","","16","3.429","12.5","12.5","18.8",".",".",".",".","56.3",".",".",".",".",".",".",".","."
"Tennis II","Course Total","","36","3.714","33.3","16.7","8.3",".",".",".",".","41.7",".",".",".",".",".",".",".","."
"Racquetball II","263
001","","8","3.786","50.0","37.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","275
001","","28","3.614","39.3","21.4","14.3","3.6",".",".",".","21.4",".",".",".",".",".",".",".","."
"","275
002","","25","3.435","36.0","40.0","8.0",".","4.0",".","4.0","8.0",".",".",".",".",".",".",".","."
"Volleyball II","Course Total","","53","3.522","37.7","30.2","11.3","1.9","1.9",".","1.9","15.1",".",".",".",".",".",".",".","."
"Kendo:Intgratn-Mrtl&Lib Art","001
277","","21","2.947","14.3","9.5","42.9","19.0",".",".","4.8","9.5",".",".",".",".",".",".",".","."
"Bicycling","295
001","","10","4.000","80.0",".",".",".",".",".",".","10.0",".",".",".",".",".","10.0",".","."
"","300
001","","20","3.500","45.0","20.0",".",".","15.0",".",".","20.0",".",".",".",".",".",".",".","."
"","300
002","","14","3.444","28.6","21.4",".","7.1","7.1",".",".","35.7",".",".",".",".",".",".",".","."
"","300
003","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Workshop-Physical Activity","Course Total","","46","3.581","45.7","21.7","2.2","2.2","8.7",".",".","19.6",".",".",".",".",".",".",".","."
"Swim Endur&Stroke Proficncy","301
001","","25","3.714","48.0","28.0","4.0","4.0",".",".",".","16.0",".",".",".",".",".",".",".","."
"Lifegrdng&Swimmng Supervisn","308
001","","16","3.643","31.3","50.0","6.3",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Water Safety Instructor","310
001","","18","3.500","22.2","44.4","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics in Martial Arts","318
001","","14","3.857","78.6","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tennis III","362
001","","20","3.750","50.0","20.0","10.0",".",".",".",".","20.0",".",".",".",".",".",".",".","."
