"FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","",""
"Intermed Language & Culture","Course Total","","63","3.041","14.3","28.6","34.9","4.8","6.3","7.9",".","3.2",".",".",".",".",".",".",".","."
"","228
001","","9","3.843","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
228","","21","3.228","14.3","42.9","14.3","14.3","9.5",".",".","4.8",".",".",".",".",".",".",".","."
"","228
003","","19","3.500","36.8","47.4",".","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"","004
228","","7","3.357","14.3","42.9","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".","."
"Intermed Language & Culture","Course Total","","56","3.450","30.4","42.9","7.1","10.7","5.4",".",".","3.6",".",".",".",".",".",".",".","."
"","271
002","","16","3.500","50.0","25.0","18.8",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"","271
003","","23","3.100","17.4","17.4","30.4","8.7","13.0",".",".","4.3",".",".",".",".","4.3","4.3",".","."
"","271
004","","16","3.625","37.5","50.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
005","","20","3.600","45.0","35.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Literary Analysis","Course Total","","75","3.444","36.0","30.7","20.0","4.0","4.0","1.3",".","1.3",".",".",".",".","1.3","1.3",".","."
"3rd Sem French-Honors","283
001","","11","3.500","36.4","27.3","36.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"4th Sem French-Honors","284
001","","10","3.550","30.0","50.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intermed Lang&Cultr-Honors","287
001","","12","3.625","33.3","58.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","299
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practical French Converstn","301
001","","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","311
001","","24","3.054","20.8","25.0","33.3",".","12.5","4.2","4.2",".",".",".",".",".",".",".",".","."
"","311
002","","18","3.082","5.6","33.3","44.4","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"Avance express orale&ecrite","Course Total","","42","3.066","14.3","28.6","38.1","2.4","11.9","2.4","2.4",".",".",".",".",".",".",".",".","."
"Intro to Business French","313
001","","24","3.774","62.5","29.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
001","","17","3.445","41.2","17.6","29.4","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"","003
321","","24","3.625","54.2","25.0","16.7",".","4.2",".",".",".",".",".",".",".",".",".",".","."
"Intro-Middle Ages to Revol","Course Total","","41","3.552","48.8","22.0","22.0","4.9","2.4",".",".",".",".",".",".",".",".",".",".","."
"","322
002","","26","3.903","80.8","19.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","322
003","","18","3.483","33.3","38.9","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro French Lit-19 & 20 C","Course Total","","44","3.736","61.4","27.3","9.1","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Civ Franc:orig au 18e siecl","347
002","","27","3.506","40.7","37.0","14.8","3.7",".","3.7",".",".",".",".",".",".",".",".",".","."
"Civ France:Revolutn-contemp","348
001","","22","3.560","40.9","22.7","31.8",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"French-Reading Knowledge","391
001","","16","3.538","43.8","18.8","6.3","6.3","6.3",".",".","12.5",".",".",".",".",".",".","6.3","."
"Intro to Romance Languages","429
001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"French Lit-Middle Age&Renas","430
001","","8","3.808","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Questions de Civ Francaise","449
000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","455
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","002
455","","27","3.635","33.3","55.6","7.4",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"French Film","Course Total","","31","3.600","32.3","51.6","12.9",".",".",".",".",".",".",".",".",".",".",".","3.2","."
"Topics in French Literature","001
462","","12","3.595","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Smr-Fr Civ&Cultr","532
001","","13","3.628","38.5","46.2",".","7.7",".",".",".","7.7",".",".",".",".",".",".",".","."
"French Phonetics","590
001","","12","3.529","41.7","25.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Crit Approach to French Lit","626
001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Le Siecle des Lumieres","629
001","","11","3.750","27.3","27.3",".",".",".",".",".","36.4",".",".",".",".","9.1",".",".","."
"","681
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
