"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","",""
"MED","College Total","6422","3.441","37.6","20.3","19.6","3.1","3.5","0.5","0.4","10.0","0.0","3.0",".","0.5","0.3",".","0.3","0.9"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"MED","","Grades","GPA","","","","","","","","","","","","","","","",""
"Freshmen","","9","2.950","55.6","11.1",".",".","11.1",".","22.2",".",".",".",".",".",".",".",".","."
"Sophomore","","163","2.603","24.5","4.3","29.4","8.0","23.3","7.4","2.5",".",".",".",".",".",".",".",".","0.6"
"Junior","","482","3.111","41.5","13.1","24.3","5.4","11.2","2.7","1.5","0.2",".",".",".",".",".",".",".","0.2"
"Senior","","899","3.390","45.6","16.9","22.8","5.0","7.5","0.8","0.9","0.4",".",".",".",".",".",".","0.1","."
"Undergraduates","","1553","3.194","42.2","14.4","23.8","5.4","10.3","2.1","1.4","0.3",".",".",".",".",".",".","0.1","0.1"
"Special","","137","3.302","26.3","6.6","10.2","2.9","5.1","0.7","0.7","4.4",".",".",".",".",".",".","2.2","40.9"
"Graduate","","1250","3.647","34.2","13.0","8.3","1.0","0.2",".",".","38.7","0.2","0.1",".","2.5","0.9",".","1.0","."
"Prof Yr 1","","878","3.402","31.1","17.2","22.8","3.6","3.1","0.1","0.2","16.7",".","4.4",".",".","0.6",".","0.1","."
"Prof Yr 2","","1187","3.456","34.3","23.3","27.9","4.5","2.3",".",".","0.3",".","7.4",".",".",".",".","0.1","0.1"
"Prof Yr 3","","705","3.458","29.5","35.0","23.8","1.7","0.3",".",".",".","0.1","9.4",".",".","0.1",".",".","."
"Prof Yr 4","","735","3.750","55.2","32.2","9.4","0.4","0.1",".",".","2.3",".",".",".",".","0.1",".",".","0.1"
"Professionals","","3505","3.507","36.9","26.0","21.9","2.9","1.6","0.0","0.1","4.8","0.0","5.5",".",".","0.2",".","0.1","0.1"
"","College Total","6445","3.441","37.4","20.2","19.5","3.1","3.5","0.5","0.4","10.3","0.0","3.0",".","0.5","0.3",".","0.3","0.9"
