"BIOLOGY CORE CURRICULUM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Evolution,Ecology,&Genetics","301
001","131","3.172","33.6","11.5","32.8","9.2","9.2","3.1","0.8",".",".",".",".",".",".",".",".","."
"","302
001","23","3.261","26.1","26.1","34.8","8.7",".","4.3",".",".",".",".",".",".",".",".",".","."
"","302
002","20","3.475","30.0","40.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","25","3.500","32.0","44.0","20.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","302
004","25","3.360","24.0","40.0","20.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
302","24","3.333","25.0","33.3","37.5",".",".","4.2",".",".",".",".",".",".",".",".",".","."
"Evol,Ecol,&Genetics Lab","Course Total","117","3.385","27.4","36.8","27.4","6.0","0.9","1.7",".",".",".",".",".",".",".",".",".","."
"Organismal Biology","323
001","114","3.268","39.5","11.4","34.2","3.5","6.1","5.3",".",".",".",".",".",".",".",".",".","."
"","001
324","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324
002","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
324","13","3.731","69.2","23.1",".",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Organismal Biology Lab","Course Total","34","3.794","70.6","23.5","2.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"BIOCORE
206","Dept. Total","396","3.292","36.6","19.9","29.0","5.8","5.3","3.0","0.3",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"206
BIOCORE","","","","","","","","","","","","","","","","","","",""
"Sophomore","","151","3.137","21.9","24.5","34.4","9.9","6.6","2.0","0.7",".",".",".",".",".",".",".",".","."
"Junior","","161","3.389","45.3","18.6","26.1","2.5","3.1","4.3",".",".",".",".",".",".",".",".",".","."
"Senior","","81","3.401","46.9","14.8","25.9","3.7","7.4","1.2",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","393","3.298","36.6","20.1","29.3","5.6","5.3","2.8","0.3",".",".",".",".",".",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","2","1.600",".",".",".","50.0",".","50.0",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","396","3.292","36.6","19.9","29.0","5.8","5.3","3.0","0.3",".",".",".",".",".",".",".",".","."
