"","999
061","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
065","2","***","","","","","","","","","",".",".","",".",".",".",".","."
"","999
079","1","***","","","","","","","","","",".",".","",".",".",".",".","."
"Independent Work","Course Total","31","4.000","29.0",".",".",".",".",".",".","67.7","3.2",".","",".",".",".",".",".","."
"PHILOS
736","Dept. Total","2202","3.166","26.7","22.0","23.1","11.2","7.1","1.6","1.8","4.7","0.5",".","",".","0.0","0.4","0.5","0.1","0.3"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","349","3.062","20.6","23.2","26.4","14.3","12.3","1.1","1.4",".",".",".","",".",".",".",".","0.3","0.3"
"Sophomore","","468","3.139","25.2","22.9","25.0","15.4","6.8","1.3","1.9","0.4","0.2",".","",".",".","0.2","0.4","0.2","."
"Junior","","632","3.188","28.2","25.8","22.9","10.9","7.0","2.2","1.9","0.5","0.3",".","",".",".",".",".",".","0.3"
"Senior","","552","3.136","25.5","21.4","27.5","10.1","6.5","2.0","2.4","2.7",".",".","",".","0.2","0.4","1.1",".","0.2"
"Undergraduates","","2001","3.140","25.4","23.4","25.3","12.3","7.7","1.7","1.9","1.0","0.1",".","",".","0.0","0.1","0.4","0.1","0.2"
"Special","","22","3.400","18.2","18.2","9.1",".","4.5",".",".","36.4",".",".","",".",".",".","9.1","4.5","."
"Graduate","","175","3.899","42.3","6.3","0.6",".","0.6",".",".","41.7","4.0",".","",".",".","2.9",".",".","1.7"
"Prof Yr 2","","4","3.750","25.0","25.0",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"Professionals","","4","3.750","25.0","25.0",".",".",".",".",".","50.0",".",".","",".",".",".",".",".","."
"","Dept. Total","2202","3.166","26.7","22.0","23.1","11.2","7.1","1.6","1.8","4.7","0.5",".","",".","0.0","0.4","0.5","0.1","0.3"
