"HUMAN ONCOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","",""
"640
Biochem Mech-Tumor Progress","001","","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"770
Sems in Human Cancer Biol","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","50.0"
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","","12","3.591","41.7","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","150","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch in Human Cancer Bio","Course Total","","8","",".",".",".",".",".",".",".","87.5",".",".",".","12.5",".",".",".","."
