"LANDSCAPE ARCHITECTURE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"520
LAND ARC","","","","","","","","","","","","","","","","","","",""
"","201
001","23","2.932","26.1","4.3","17.4","26.1","21.7",".",".",".",".",".",".",".","4.3",".",".","."
"","201
002","24","3.083","25.0","12.5","25.0","29.2","8.3",".",".",".",".",".",".",".",".",".",".","."
"Intro Land Arc Studio","Course Total","47","3.011","25.5","8.5","21.3","27.7","14.9",".",".",".",".",".",".",".","2.1",".",".","."
"","250
001","22","2.643","9.1","9.1","27.3","13.6","31.8","4.5",".",".",".",".",".",".",".",".",".","4.5"
"","250
002","21","2.667","9.5","19.0","23.8",".","42.9","4.8",".",".",".",".",".",".",".",".",".","."
"","003
250","21","2.857","14.3","19.0","23.8","9.5","33.3",".",".",".",".",".",".",".",".",".",".","."
"","250
004","25","2.180","8.0","8.0","8.0","4.0","56.0","12.0","4.0",".",".",".",".",".",".",".",".","."
"","250
005","22","2.650","9.1","18.2","27.3",".","27.3","4.5","4.5",".",".",".",".",".","4.5","4.5",".","."
"","006
250","21","2.500","19.0","14.3","4.8",".","47.6","14.3",".",".",".",".",".",".",".",".",".","."
"Survey of Land Arch Design","Course Total","132","2.570","11.4","14.4","18.9","4.5","40.2","6.8","1.5",".",".",".",".",".","0.8","0.8",".","0.8"
"Prin Land Arc Dsgn&Graphics","261
001","22","3.477","27.3","45.5","22.7","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Landscape Invntry&Eval Meth","262
001","37","3.176","32.4","21.6","29.7","8.1",".","2.7","5.4",".",".",".",".",".",".",".",".","."
"","299
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","2","***","","","","","","","","","","","","","","","",""
"Disease-Landscp Trees&Shrub","309
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Landscape Arch Tech II","354
001","21","3.286","14.3","42.9","33.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Planting Design I","365
001","20","3.275","20.0","25.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","10","3.100","40.0","10.0","30.0","10.0",".",".","10.0",".",".",".",".",".",".",".",".","."
"","375
002","8","3.571","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","18","3.294","44.4","16.7","27.8","5.6",".",".","5.6",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Environmental Aesthetics","548
001","8","2.875","12.5",".","37.5","50.0",".",".",".",".",".",".",".",".",".",".",".","."
"Professionl Pract-Land Arch","550
001","16","2.969","18.8","12.5","31.3","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Landscape Arch","610
001","17","3.258","17.6","35.3","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".","."
"Restoration Ecology","666
001","16","3.594","62.5","6.3","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems-Land Arch","699
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theories-Landscape Change","710
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Pol&Mgmt-National Parks","749
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Graduate Seminar","940
001","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
012","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
015","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","11","",".",".",".",".",".",".",".","54.5",".",".",".","45.5",".",".",".","."
"","999
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Studies","Course Total","2","***","","","","","","","","","","","","","","","",""
