"L&S","","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","4967","2.987","29.2","17.4","17.4","12.1","15.8","4.4","1.7","1.3","",".",".","",".","",".","0.1","0.1","0.2","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1362","2.679","15.3","16.2","16.5","18.1","23.1","8.1","2.6","0.1","",".",".","",".","",".",".",".",".","0.1"
"Sophomore","","1109","2.886","21.9","18.0","20.6","13.7","18.2","4.6","2.4",".","",".",".","",".","",".",".","0.1",".","0.5"
"Junior","","1066","2.992","27.1","18.7","20.8","11.3","16.5","3.2","1.5",".","",".",".","",".","",".",".","0.2",".","0.8"
"Senior","","1065","3.345","45.3","19.4","16.0","6.9","8.7","2.3","0.3","0.8","",".",".","",".","",".",".","0.2","0.1","0.2"
"Undergraduates","","4602","2.952","26.6","17.9","18.4","12.8","17.1","4.8","1.8","0.2","",".",".","",".","",".",".","0.1","0.0","0.3"
"Special","","52","3.579","53.8","15.4","11.5","9.6","1.9",".",".","5.8","",".",".","",".","",".",".",".","1.9","."
"Graduate","","306","3.815","65.0","9.2","3.9","0.3","0.3",".","0.3","17.0","",".",".","",".","",".","1.0",".","2.0","1.0"
"Prof Yr 1","","6","3.083",".","50.0","16.7","33.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Yr 3","","1","3.000",".",".","100.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Professionals","","7","3.071",".","42.9","28.6","28.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","4967","2.987","29.2","17.4","17.4","12.1","15.8","4.4","1.7","1.3","",".",".","",".","",".","0.1","0.1","0.2","0.4"
