"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"","521","004","","12","3.333","25.0","33.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"Advanced Calculus","","Course Total","","49","3.167","24.5","20.4","34.7","8.2","8.2",".","2.0",".",".",".",".",".",".",".",".","2.0"
"Linear Programming Methods","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","541","001","","12","3.667","66.7","16.7","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","541","002","","11","3.091","27.3","18.2","36.4",".","9.1","9.1",".",".",".",".",".",".",".",".",".","."
"","541","003","","10","2.900","30.0","10.0","30.0","10.0","10.0",".","10.0",".",".",".",".",".",".",".",".","."
"Modern Algebra","","Course Total","","33","3.242","42.4","15.2","24.2","3.0","9.1","3.0","3.0",".",".",".",".",".",".",".",".","."
"Elementary Topology","551","001","","26","3.300","38.5","19.2","11.5","15.4","11.5",".",".","3.8",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632","001","","15","3.233","46.7","13.3","20.0","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","152","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Methods of Applied Math 1","703","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Crse in Real Analysis","721","001","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Progrmg Thry&Appl","726","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Calc-Variations&Rel Topics","727","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","28","3.630","60.7","17.9","7.1","3.6","7.1",".",".","3.6",".",".",".",".",".",".",".","."
"Theory of Groups","745","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","27","3.885","77.8","14.8","3.7",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"Differentiable Manifolds","761","001","","17","3.647","70.6",".","23.5",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","10","3.600","70.0",".","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Computability Theory","773","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Applied Math","801","001","","7","3.600","42.9",".","28.6",".",".",".",".",".",".",".",".",".",".",".","28.6","."
"Adv Topics-Complex Analysis","823","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory of Probability","831","001","","9","3.313","44.4","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".","11.1"
"Adv Topics-Rings & Algebras","843","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Number Theory","869","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Combinatorics","875","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Math Education","903","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","941","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar in Topology","951","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Number Theory","967","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Foundations of Math","975","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
