"MUSIC","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","",""
"799","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","101","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","20","3.868","75.0","5.0","10.0",".",".",".",".",".",".",".",".",".","5.0",".","5.0","."
"824
Post-tonal Analysis","001","","15","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"825
Rhythm, Meter, Form","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Seminar in Musicology","001","","18","3.971","88.9","5.6",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Masters Thesis","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","034","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","041","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"999","051","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","063","","6","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
"999","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","087","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","089","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","091","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","111","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","112","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"999","129","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Work","Course Total","","40","",".",".",".",".",".",".",".","85.0","2.5",".",".","12.5",".",".",".","."
