"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"RELIGIOUS STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"856
RELIG ST","","","","","","","","","","","","","","","","","","",""
"Intro Topics in Relig St (H)","200
001","41","3.021","36.6","19.5","12.2","7.3","4.9","9.8","4.9",".",".",".",".",".",".",".","4.9","."
"Islam Wrld:MidEast,500-1500","205
001","18","3.412","22.2","44.4","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","68","3.157","25.0","22.1","35.3","5.9","5.9","1.5","2.9","1.5",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","16","3.367","31.3","25.0","25.0","6.3","6.3",".",".",".",".",".",".",".",".",".",".","6.3"
"Lt Tran:Dante-Divine Comedy","253
001","28","3.320","21.4","28.6","28.6","7.1","3.6",".",".","7.1",".",".",".",".",".","3.6",".","."
"Intro-Philos of Religion","261
001","33","3.484","39.4","36.4","15.2","3.0",".",".","3.0",".",".",".",".",".",".",".",".","3.0"
"Medvl Crusade: Fact&Fantasy","309
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Confucianism","363
001","23","3.196","34.8","26.1","8.7","13.0","13.0","4.3",".",".",".",".",".",".",".",".",".","."
"History of Buddhist Thought","001
365","26","3.500","26.9","34.6","26.9",".",".",".",".","11.5",".",".",".",".",".",".",".","."
"Roots-Christian Monasticism","001
366","14","3.529","42.9","35.7","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","12","3.364","33.3","8.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".","8.3","."
"","400
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Religious Studies","Course Total","9","3.455","44.4","11.1",".","11.1","11.1",".",".","22.2",".",".",".",".",".",".",".","."
"Relig Ancient India-Vedic","418
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Contemp Buddhism","461
001","6","3.647","50.0","33.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Studies-S Asian Religions","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699
011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","999
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"RELIG ST
856","Dept. Total","309","3.314","32.7","26.2","21.7","6.5","3.9","1.9","1.6","3.6",".",".",".",".",".","0.3","1.0","0.6"
