"TERM : 1012","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2000-2001","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","",""
"CAVE","","","","","","","","","","","","","","","","","","","","",""
"CONTINUING AND VOCATIONAL  Section","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","","",""
"C A V E
Dept. Total
268","172","3.622","44.2","19.2","11.0","0.6","3.5","",".","0.6","11.0","",".",".","",".","7.0","2.3",".","0.6","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"268
C A V E","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","1.000",".",".",".",".","50.0","",".","50.0",".","",".",".","",".",".",".",".",".","."
"Junior","11","3.167","27.3","36.4","18.2",".","18.2","",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","50","3.606","44.0","28.0","22.0","2.0","4.0","",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","63","3.470","39.7","28.6","20.6","1.6","7.9","",".","1.6",".","",".",".","",".",".",".",".",".","."
"Special","8","3.300","12.5","50.0","12.5",".","12.5","",".",".",".","",".",".","",".",".","12.5",".",".","."
"Graduate","101","3.830","49.5","10.9","5.0",".",".","",".",".","18.8","",".",".","",".","11.9","3.0",".","1.0","."
"Dept. Total","172","3.622","44.2","19.2","11.0","0.6","3.5","",".","0.6","11.0","",".",".","",".","7.0","2.3",".","0.6","."
