"","990
042","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
060","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
061","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","26","",".",".",".",".",".",".",".","61.5",".",".",".","34.6","",".",".","3.8","."
"AN SCI
604","Dept. Total","456","3.135","30.9","16.2","23.9","8.6","8.8","3.1","0.4","5.5",".",".",".","2.0","",".",".","0.4","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"604
AN SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","80","3.206","40.0","10.0","41.3","2.5","5.0",".","1.3",".",".",".",".",".","",".",".",".","."
"Sophomore","","89","3.017","27.0","15.7","27.0","15.7","6.7","7.9",".",".",".",".",".",".","",".",".",".","."
"Junior","","82","2.961","13.4","24.4","30.5","13.4","13.4","4.9",".",".",".",".",".",".","",".",".",".","."
"Senior","","142","3.216","38.7","19.0","17.6","8.5","12.0","2.1","0.7","0.7",".",".",".",".","",".",".",".","0.7"
"Undergraduates","","393","3.110","31.0","17.6","27.2","9.9","9.7","3.6","0.5","0.3",".",".",".",".","",".",".",".","0.3"
"Special","","6","3.059","50.0",".",".",".","33.3",".",".",".",".",".",".",".","",".",".","16.7","."
"Graduate","","74","3.800","24.3","6.8","2.7",".",".",".",".","52.7",".",".",".","12.2","",".",".","1.4","."
"","Dept. Total","473","3.135","30.2","15.6","23.0","8.2","8.5","3.0","0.4","8.5",".",".",".","1.9","",".",".","0.4","0.2"
