"MEDICAL SCIENCES - VET MED","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"623
MED SC-V","","","","","","","","","","","","","","","","","","","",""
"574
Veterinary Prev Medicine","001","","74","3.601","35.1","54.1","6.8","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"620
Veterinary Medicine I","001","","74","2.980","5.4","18.9","55.4","6.8","13.5",".",".",".",".",".",".",".",".",".",".","."
"624
Theriogenology I","001","","74","3.500","54.1",".","41.9",".","4.1",".",".",".",".",".",".",".",".",".",".","."
"630
Veterinary Clin Nutrition","001","","74","3.568","39.2","35.1","25.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"667
Small Animal Neurology","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"668
Clin Dermatology Rotation","001","","20","4.000","30.0",".",".",".",".",".",".","70.0",".",".",".",".",".",".",".","."
"669
Small Anml Cardiolgy Rotatn","001","","20","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"670","001","","38","4.000","5.3",".",".",".",".",".",".","94.7",".",".",".",".",".",".",".","."
"670","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sr Rotation:Lrge Animal Med","Course Total","","42","4.000","7.1",".",".",".",".",".",".","92.9",".",".",".",".",".",".",".","."
"672
Sr Rotation:Theriogenology","001","","32","4.000","28.1",".",".",".",".",".",".","71.9",".",".",".",".",".",".",".","."
"674
Sr Rotation:Ambulatory Serv","001","","31","4.000","29.0",".",".",".",".",".",".","71.0",".",".",".",".",".",".",".","."
"675","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","002","","24","3.250","25.0",".",".",".",".","8.3",".","66.7",".",".",".",".",".",".",".","."
"675","003","","20","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","004","","21","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"675","005","","54","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","127","3.250","4.7",".",".",".",".","1.6",".","93.7",".",".",".",".",".",".",".","."
"676
Sr Rotation:Swine Medicine","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"678","001","","45","3.889","57.8",".",".",".",".","2.2",".","40.0",".",".",".",".",".",".",".","."
"678","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Small Animal Internal Med","Course Total","","49","3.903","61.2",".",".",".",".","2.0",".","36.7",".",".",".",".",".",".",".","."
"679
Small Animal Oncology","001","","16","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"701
Production Medicine I","001","","9","4.000","22.2",".",".",".",".",".",".","77.8",".",".",".",".",".",".",".","."
"703
Production Medicine II","001","","8","4.000","12.5",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","."
"705
Prod Med III-Appl Dy Nutr","001","","8","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"775","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","021","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"775","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"775","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
