"","990
037","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
039","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990
040","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","63","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"ONCOLOGY
700","Dept. Total","170","3.641","30.6","15.3","9.4","2.9","1.2",".",".","40.6",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","",""
"Junior","","13","3.240","23.1","15.4","30.8","23.1",".",".",".","7.7",".",".",".",".",".",".",".","."
"Senior","","36","3.506","41.7","25.0","19.4","5.6","5.6",".",".","2.8",".",".",".",".",".",".",".","."
"Undergraduates","","49","3.441","36.7","22.4","22.4","10.2","4.1",".",".","4.1",".",".",".",".",".",".",".","."
"Special","","3","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"Graduate","","136","3.763","23.5","11.0","3.7",".",".",".",".","61.8",".",".",".",".",".",".",".","."
"","Dept. Total","188","3.641","27.7","13.8","8.5","2.7","1.1",".",".","46.3",".",".",".",".",".",".",".","."
