"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
L SC COM","","","","","","","","","","","","","","","","","","",""
"","100
001","19","3.605","57.9","10.5","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
100","21","3.524","42.9","33.3","14.3","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"","003
100","16","3.563","56.3","12.5","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","19","3.658","52.6","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
005","20","3.475","35.0","40.0","15.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","100
006","17","3.735","70.6","17.6",".","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Com: Inquiry&Expositn","Course Total","112","3.589","51.8","25.0","14.3","7.1","1.8",".",".",".",".",".",".",".",".",".",".","."
"Sci&Technology Newswriting","001
111","19","3.026","26.3","15.8","26.3","10.5","15.8","5.3",".",".",".",".",".",".",".",".",".","."
"Family & Consumer Newswrtg","130
001","22","3.523","31.8","40.9","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reporting","204
001","17","3.676","52.9","35.3","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","21","3.375","47.6",".","47.6",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","003
212","18","3.139","22.2","38.9","16.7",".","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"","212
005","15","2.933","20.0","33.3","20.0","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","54","3.175","31.5","22.2","29.6","1.9","7.4","5.6","1.9",".",".",".",".",".",".",".",".","."
"","299
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.750","66.7",".","16.7",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Feature Writing","001
320","12","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Visualizing Sci & Technology","350
001","9","3.750","66.7",".","22.2",".",".",".",".",".",".",".",".",".",".","11.1",".","."
"Information Radio","360
001","20","3.625","30.0","65.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375
003","20","3.438","25.0","30.0","35.0",".",".",".",".",".",".",".",".",".",".","10.0",".","."
"Special Topics","Course Total","28","3.508","46.4","21.4","25.0",".",".",".",".",".",".",".",".",".",".","7.1",".","."
"","399
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","4","***","","","","","","","","","","","","","","","",""
"Consumer Investgtv Reportng","430
001","14","3.250","35.7","35.7","7.1","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"Agricultural Advertising","431
001","19","3.694","52.6","26.3","15.8",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Publications Editing","505
001","19","3.778","52.6","42.1",".",".",".",".",".",".",".",".",".",".",".","5.3",".","."
"Pub Info Campaigns & Progms","515
001","17","3.618","47.1","35.3","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","530
001","16","3.375","18.8","43.8","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","002
530","12","3.625","58.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","Course Total","28","3.482","35.7","28.6","32.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro: Non-Theatrical Film","615
001","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
034","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
035","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Envir Info & Educ Programs","861
001","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
