"THEATRE AND DRAMA","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","",""
"Introduction-Dramatic Arts","120
001","323","3.472","39.0","33.1","16.1","5.0","4.6","0.6","0.3","0.6",".",".",".",".",".",".",".","0.6"
"Voice Training","140
001","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
001","16","3.267","25.0","18.8","31.3","18.8",".",".",".","6.3",".",".",".",".",".",".",".","."
"","150
002","17","3.118","29.4","41.2",".","5.9","11.8","11.8",".",".",".",".",".",".",".",".",".","."
"","150
003","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
150","18","3.667","88.9",".",".",".","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","150
006","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","150
007","17","3.676","82.4","5.9","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"","150
008","18","3.444","61.1","11.1","5.6","11.1","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","150
010","17","2.912","29.4","29.4",".","11.8","11.8","17.6",".",".",".",".",".",".",".",".",".","."
"","011
150","18","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Acting","Course Total","156","3.539","62.2","18.6","4.5","5.1","3.8","3.8","1.3","0.6",".",".",".",".",".",".",".","."
"","161
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
004","9","3.111","55.6",".","11.1","22.2",".",".","11.1",".",".",".",".",".",".",".",".","."
"","161
005","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
006","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
007","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","161
008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","161
009","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory I","Course Total","53","3.830","88.7","3.8","1.9","3.8",".",".","1.9",".",".",".",".",".",".",".",".","."
"Fund-Stage Mkup&Hair Technique","163
001","16","3.776","68.8","18.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Stagecraft","170
001","15","3.269","26.7","26.7","26.7","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","199
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Writing-Theatre&Performance","001
200","21","3.167","33.3","14.3","19.0","28.6",".","4.8",".",".",".",".",".",".",".",".",".","."
"Wrld Theatre & Drama to 18c","221
001","50","3.370","34.0","30.0","16.0","16.0","4.0",".",".",".",".",".",".",".",".",".",".","."
"Bascom Course","236
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Voice Training","240
001","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
001","17","3.875","88.2",".",".",".","5.9",".",".",".",".",".",".",".",".","5.9",".","."
"","002
250","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Acting","Course Total","32","3.823","71.9","21.9",".",".","3.1",".",".",".",".",".",".",".",".","3.1",".","."
"Fundamentals-Movemnt for Stage","342
002","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acting Realism","350
001","17","3.471","76.5",".","5.9",".","11.8",".","5.9",".",".",".",".",".",".",".",".","."
"Fund-Asian Stage Discipline","351
001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Backstage Laboratory II","361
001","23","3.774","69.6","26.1","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","003
362","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","362
004","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
362","6","3.667","83.3",".",".",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"Drama in Education","Course Total","36","3.819","83.3","8.3","2.8",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Stage Lighting I","366
001","23","3.115","17.4","34.8","30.4","8.7","4.3",".","4.3",".",".",".",".",".",".",".",".","."
