"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","","7","3.929","85.7","14.3",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","300
002","","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Acturarial Science Methods","Course Total","","12","3.958","91.7","8.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Actuarial Mathematics 1","001
650","","29","3.107","17.2","13.8","41.4","20.7","3.4",".",".",".","",".","",".",".","",".","",".","","3.4",".","."
"Risk Theory and Credibility","652
001","","21","2.619","14.3","23.8",".","33.3","14.3","9.5","4.8",".","",".","",".",".","",".","",".","",".",".","."
"ACT SCI
242","Dept. Total","","62","2.978","30.6","16.1","19.4","21.0","6.5","3.2","1.6","",".","",".",".","",".","",".","",".","1.6",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","19","3.256","42.1","21.1","15.8","15.8","5.3",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","35","2.700","22.9","8.6","22.9","25.7","8.6","5.7","2.9","",".","",".",".","",".","",".","",".","2.9",".","."
"Undergraduates","","","54","2.885","29.6","13.0","20.4","22.2","7.4","3.7","1.9","",".","",".",".","",".","",".","",".","1.9",".","."
"Graduate","","","8","3.500","37.5","37.5","12.5","12.5",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","62","2.978","30.6","16.1","19.4","21.0","6.5","3.2","1.6","",".","",".",".","",".","",".","",".","1.6",".","."
