"","990
124","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"","990
146","1","***","","","","","","","","","",".",".",".","",".","",".",".","."
"Reading and Research","Course Total","13","",".",".",".",".",".",".",".","100.0",".",".",".","",".","",".",".",".","."
"Smr-Applied Mathematics","991
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".","",".","",".",".","."
"MATH
600","Dept. Total","7843","2.734","23.3","11.8","21.4","9.8","20.6","6.8","4.5","0.3",".","1.1","0.0","",".","",".","0.2","0.1","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3746","2.698","19.6","11.3","22.5","9.3","23.7","6.8","4.7","0.0",".","1.8","0.1","",".","",".","0.1",".","0.1"
"Sophomore","","2095","2.637","20.6","11.7","21.2","11.8","20.1","8.3","5.0","0.0",".","0.8","0.0","",".","",".","0.2",".","0.1"
"Junior","","1031","2.719","23.8","12.7","21.3","10.0","20.2","6.8","4.7","0.2",".","0.3",".","",".","",".","0.1",".","."
"Senior","","570","2.835","24.2","14.6","23.5","11.4","15.4","6.1","3.5","0.4",".",".",".","",".","",".","0.5",".","0.4"
"Undergraduates","","7442","2.693","20.8","11.9","22.0","10.3","21.6","7.1","4.7","0.1",".","1.2","0.0","",".","",".","0.2",".","0.1"
"Special","","53","3.332","47.2","15.1","17.0","9.4","5.7",".","3.8",".",".",".",".","",".","",".",".",".","1.9"
"Graduate","","346","3.815","73.1","8.7","8.4","0.6","1.2","0.3",".","5.5",".",".",".","",".","",".","0.6","1.2","0.6"
"Prof Yr 1","","1","2.000",".",".",".",".","100.0",".",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".","",".",".",".","."
"Professionals","","2","2.563",".","50.0",".",".","50.0",".",".",".",".",".",".","",".","",".",".",".","."
"","Dept. Total","7843","2.734","23.3","11.8","21.4","9.8","20.6","6.8","4.5","0.3",".","1.1","0.0","",".","",".","0.2","0.1","0.2"
