"MED","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"BMOLCHEM
758","Dept. Total","446","3.441","34.1","11.9","21.5","2.5","3.4","0.9","0.4","22.0","",".",".","",".","2.9","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"758
BMOLCHEM","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","24","3.092","29.2","12.5","33.3","8.3","12.5","4.2",".",".","",".",".","",".",".",".",".",".","."
"Junior","","43","3.239","34.9","20.9","25.6","7.0","7.0","2.3","2.3",".","",".",".","",".",".",".",".",".","."
"Senior","","68","3.292","42.6","7.4","32.4","4.4","10.3","2.9",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","135","3.241","37.8","12.6","30.4","5.9","9.6","3.0","0.7",".","",".",".","",".",".",".",".",".","."
"Special","","15","3.394","46.7","13.3","26.7",".","13.3",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","157","3.402","18.5","3.2","7.0","0.6",".",".",".","62.4","",".",".","",".","8.3",".",".",".","."
"Prof Yr 1","","139","3.551","46.8","20.9","28.8","1.4",".",".","0.7",".","",".",".","",".",".","1.4",".",".","."
"Professionals","","139","3.551","46.8","20.9","28.8","1.4",".",".","0.7",".","",".",".","",".",".","1.4",".",".","."
"","Dept. Total","446","3.441","34.1","11.9","21.5","2.5","3.4","0.9","0.4","22.0","",".",".","",".","2.9","0.4",".",".","."
