"LANGUAGES AND CULTURES O Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"910
LANGASIA","","","","","","","","","","","","","","","","","","","",""
"571
Structure of Thai","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"615
Writing Travels","001","","11","3.800","54.5","36.4",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"620
Studies-S Asian Religions","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"630
Proseminar","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","043","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"857
Smr-Hist of India (S Asia)","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Smr:Intrdis Approach-S Asia","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","003","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","008","","6","",".",".",".",".",".",".",".","33.3",".",".",".","66.7",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","35","",".",".",".",".",".",".",".","82.9",".",".",".","17.1",".",".",".","."
