"MANAGEMENT AND HUMAN RE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","713
003","49","3.500","24.5","51.0","24.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","713
004","33","3.636","36.4","54.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Strategy","Course Total","158","3.516","24.7","53.8","21.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org & Management Processes","001
720","22","3.545","40.9","27.3","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","722
001","37","3.625","40.5","40.5","16.2",".",".",".",".","2.7",".",".",".",".",".",".",".","."
"","002
722","47","3.837","70.2","23.4","4.3",".",".",".",".",".",".",".",".",".","2.1",".",".","."
"Sm Bus Mgmt/Entrepreneurshp","Course Total","84","3.744","57.1","31.0","9.5",".",".",".",".","1.2",".",".",".",".","1.2",".",".","."
"Project Management","724
002","35","3.882","80.0","11.4","5.7",".",".",".",".",".",".",".",".",".",".",".","2.9","."
"","725
001","44","3.773","56.8","40.9","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","37","3.653","35.1","56.8","5.4",".",".",".",".",".",".",".",".",".","2.7",".",".","."
"Strategc Mgmt-Innovatn&Tech","Course Total","81","3.719","46.9","48.1","3.7",".",".",".",".",".",".",".",".",".","1.2",".",".","."
"Small Business Planning","001
727","30","3.783","83.3","3.3","10.0",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Barg,Negot,Dispute Settlmnt","728
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
006","8","4.000","50.0",".",".",".",".",".",".","12.5",".",".",".","37.5",".",".",".","."
"Contemporary Topics","Course Total","20","3.966","75.0","5.0",".",".",".",".",".","5.0",".",".",".","15.0",".",".",".","."
"Seminar-Arts Administration","773
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
031","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
054","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
056","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
096","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
110","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Management","Course Total","18","4.000","94.4",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.6"
"Smr-Org Behavior & Design","872
001","11","3.944","72.7","9.1",".",".",".",".",".",".",".",".",".",".","18.2",".",".","."
"Doctoral Rsch Smr in Mgmt","975
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
062","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
088","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
123","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
124","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Management","Course Total","8","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
"Read&Rsch-Mgmt&H Resrcs PhD","999
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
