"","990
095","2","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
096","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"","990
097","1","***","","","","","","","","","",".",".",".",".","",".",".","."
"Research","Course Total","60","",".",".",".",".",".",".",".","81.7",".",".",".","16.7","",".",".","1.7","."
"GENETICS
412","Dept. Total","548","2.897","27.6","11.9","18.6","8.9","13.0","6.2","2.2","9.1",".",".",".","1.8","",".","0.4","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","9","2.125","22.2","11.1","11.1",".","22.2","11.1","11.1",".",".",".",".",".","",".","11.1",".","."
"Sophomore","","42","3.103","45.2","4.8","19.0","11.9","9.5","7.1",".",".",".",".",".",".","",".",".",".","2.4"
"Junior","","160","2.730","28.1","6.9","23.8","10.6","18.8","10.6","1.3",".",".",".",".",".","",".",".",".","."
"Senior","","169","2.748","24.9","17.8","12.4","10.7","20.1","7.7","5.3","0.6",".",".",".",".","",".","0.6",".","."
"Undergraduates","","380","2.766","28.4","11.6","17.9","10.5","18.4","8.9","3.2","0.3",".",".",".",".","",".","0.5",".","0.3"
"Special","","24","3.687","79.2",".","4.2","16.7",".",".",".",".",".",".",".",".","",".",".",".","."
"Graduate","","144","3.375","16.7","14.6","22.9","3.5","0.7",".",".","34.0",".",".",".","6.9","",".",".","0.7","."
"","Dept. Total","548","2.897","27.6","11.9","18.6","8.9","13.0","6.2","2.2","9.1",".",".",".","1.8","",".","0.4","0.2","0.2"
