"","999
097","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
098","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
100","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Study & Research","Course Total","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"COMP SCI
266","Dept. Total","5195","3.073","13.9","8.5","11.1","5.7","4.9","1.5","1.2","2.7","0.0","43.5","4.9","0.1","0.0","1.4","0.2","0.5"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","",""
"Freshmen","","996","2.741","4.2","2.6","5.1","2.3","3.9","1.3","1.2",".",".","65.2","10.4",".",".","2.9",".","0.8"
"Sophomore","","1579","2.777","4.6","3.3","6.8","4.4","3.5","1.5","0.9",".","0.1","67.1","5.7",".",".","1.8",".","0.3"
"Junior","","821","2.967","10.8","11.4","16.9","10.2","6.7","1.3","1.1","0.1",".","36.2","4.1",".",".","0.9",".","0.1"
"Senior","","975","2.961","16.5","12.0","18.9","10.4","9.2","2.5","2.1","0.9",".","23.4","2.5",".",".","0.3","0.2","1.2"
"Undergraduates","","4371","2.898","8.3","6.6","11.0","6.4","5.5","1.6","1.3","0.2","0.0","51.1","5.8",".",".","1.6","0.0","0.6"
"Special","","72","3.058","25.0","11.1","18.1","5.6","5.6","4.2","2.8","2.8",".","15.3","1.4",".",".","6.9","1.4","."
"Graduate","","751","3.639","45.0","19.3","10.9","2.1","1.2","0.1","0.5","17.0","0.1","2.0","0.3","0.4","0.1",".","0.7","0.1"
"Prof Yr 2","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","1","3.000",".",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","5195","3.073","13.9","8.5","11.1","5.7","4.9","1.5","1.2","2.7","0.0","43.5","4.9","0.1","0.0","1.4","0.2","0.5"
