"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"699","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","37","3.911","86.5","2.7","5.4",".",".",".",".",".",".",".",".",".","5.4",".",".","."
"712","001","","20","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"712","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"712","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Solid State Power Conversn","Course Total","","24","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","4.2",".","8.3","."
"713","001","","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"713","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Electrmgntc Dsgn-AC Machins","Course Total","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"717
Linear Systems","001","","22","3.636","59.1","9.1","31.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Plasma Kinetic&Radiatn Proc","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"730
Probability&Stochastic Proc","001","","20","3.500","35.0","30.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"732
Adv Digital Signal Procesng","001","","23","3.273","26.1","26.1","21.7","17.4","4.3",".",".",".",".",".",".",".",".",".","4.3","."
"734
VLSI Array-Dig Signal Proc","001","","20","3.816","65.0","25.0","5.0",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"735
Signl Synthesis&Recvry Tech","001","","20","3.475","35.0","40.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"740
Electromagnetic Theory","001","","10","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"745
Solid State Electronics","001","","17","3.531","35.3","29.4","29.4",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"746
Quantum Electronics","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"752
Adv Computer Architecture I","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"755
VLSI Systems Design","001","","30","3.433","26.7","40.0","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"757
Adv Computr Architecture II","001","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"790","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","011","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"790","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"790","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 116 of 382",""
