"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"Introduction to Business","100
001","272","3.090","9.2","35.3","30.5","15.8","7.7","1.1",".",".",".",".",".",".",".",".",".","0.4"
"Directed Study","198
201","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","300
001","23","3.609","21.7","78.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","18","3.806","66.7","27.8","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
300","18","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","25","3.487","20.0","72.0","4.0",".",".","4.0",".",".",".",".",".",".",".",".",".","."
"","300
005","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","23","3.696","56.5","30.4","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","29","3.556","41.4","37.9","13.8","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"","300
008","25","3.559","20.0","72.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
009","23","3.696","43.5","52.2","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","25","3.640","32.0","64.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
011","25","3.545","16.0","76.0","8.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
300","23","3.500","4.3","91.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
013","24","3.685","37.5","62.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
014","23","3.630","34.8","56.5","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professional Communication","Course Total","329","3.631","35.0","58.7","5.2","0.6","0.3","0.3",".",".",".",".",".",".",".",".",".","."
"","301
001","188","2.899","15.4","14.4","33.0","11.2","25.0","1.1",".",".",".",".",".",".",".",".",".","."
"","002
301","230","3.054","23.9","14.3","30.4","12.2","18.7","0.4",".",".",".",".",".",".",".",".",".","."
"Business Law","Course Total","418","2.984","20.1","14.4","31.6","11.7","21.5","0.7",".",".",".",".",".",".",".",".",".","."
"","302
001","45","3.352","35.6","22.2","22.2","11.1","6.7",".",".","2.2",".",".",".",".",".",".",".","."
"","302
002","39","3.500","43.6","23.1","15.4","10.3","2.6",".",".","5.1",".",".",".",".",".",".",".","."
"Business Law","Course Total","84","3.420","39.3","22.6","19.0","10.7","4.8",".",".","3.6",".",".",".",".",".",".",".","."
"","303
001","131","3.031","10.7","20.6","47.3","16.0","2.3","1.5","1.5",".",".",".",".",".",".",".",".","."
"","303
002","137","3.135","8.8","34.3","38.7","11.7","6.6",".",".",".",".",".",".",".",".",".",".","."
"Business Statistics","Course Total","268","3.084","9.7","27.6","42.9","13.8","4.5","0.7","0.7",".",".",".",".",".",".",".",".","."
"","001
304","84","3.375","36.9","22.6","28.6","7.1","3.6",".","1.2",".",".",".",".",".",".",".",".","."
"","304
002","50","3.280","34.0","8.0","46.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Intermediate Bus Statistics","Course Total","134","3.340","35.8","17.2","35.1","6.0","5.2",".","0.7",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700
001","15","3.750","46.7","46.7",".",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"","002
700","13","3.708","46.2","38.5","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"","003
700","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
004","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
700","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
700","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
007","15","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
008","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
009","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
010","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managerial Communication","Course Total","143","3.865","74.8","21.0","2.8",".",".",".",".",".",".",".",".",".",".","1.4",".","."
"","701
001","40","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","701
002","38","3.934","86.8","13.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Legal Environment","Course Total","78","3.936","87.2","12.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
