"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"812","001","","24","3.065","12.5","8.3","54.2","20.8",".",".",".",".","4.2",".",".",".",".",".",".","."
"812","002","","20","3.275","25.0","25.0","35.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"812","003","","23","3.391","26.1","34.8","30.4","8.7",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Surgery","Course Total","","67","3.242","20.9","22.4","40.3","13.4","1.5",".",".",".","1.5",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","8","4.000","75.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25.0"
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","2","3.833","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","3.625","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","16","3.556","18.8","68.8","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"935","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"935","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"935","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurgery Clerkship-CSC","Course Total","","7","3.500","42.9",".","42.9",".",".",".",".",".",".",".",".",".",".",".",".","14.3"
"939","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"939","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 357 of 382",""
