"296
ECON","","","","","","","","","","","","","","","","","","","",""
"","990
003","2","***","","","","","","","","","",".",".",".","",".",".",".","."
"","990
004","1","***","","","","","","","","","",".",".",".","",".",".",".","."
"Thesis","Course Total","7","",".",".",".",".",".",".",".","100.0",".",".",".","",".",".",".",".","."
"ECON
296","Dept. Total","3885","2.936","18.6","18.1","25.7","13.8","14.5","3.7","1.6","3.5","0.1","0.1",".","",".","0.1","0.0","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","620","2.869","16.1","20.6","25.0","15.6","15.5","5.0","2.1",".",".",".",".","",".",".",".",".","."
"Sophomore","","1206","2.915","16.9","18.4","27.4","14.7","17.5","3.5","1.4","0.1",".",".",".","",".",".",".",".","0.2"
"Junior","","832","2.899","20.3","17.1","25.6","11.4","16.5","6.1","1.7","1.1",".",".",".","",".","0.1",".",".","0.1"
"Senior","","791","2.920","18.3","17.4","26.7","17.4","13.7","2.4","2.3","0.9","0.3","0.1",".","",".","0.1","0.1",".","0.3"
"Undergraduates","","3449","2.903","17.9","18.3","26.4","14.7","16.0","4.1","1.8","0.5","0.1","0.0",".","",".","0.1","0.0",".","0.1"
"Special","","48","3.179","25.0","22.9","18.8","12.5","8.3",".","2.1","6.3",".","2.1",".","",".",".",".","2.1","."
"Graduate","","385","3.399","24.2","16.1","20.5","6.2","1.8",".",".","30.1",".",".",".","",".","0.5",".","0.5","."
"Prof Yr 1","","2","3.500","50.0",".","50.0",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Prof Yr 2","","1","3.500",".","100.0",".",".",".",".",".",".",".",".",".","",".",".",".",".","."
"Professionals","","3","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".","",".",".",".",".","."
"","Dept. Total","3885","2.936","18.6","18.1","25.7","13.8","14.5","3.7","1.6","3.5","0.1","0.1",".","",".","0.1","0.0","0.1","0.1"
