"","990
056","5","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
067","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"","990
071","1","***","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","19","",".",".",".",".",".","",".",".","94.7",".",".",".","5.3",".",".",".","."
"POP HLTH
810","Dept. Total","349","3.798","62.2","14.9","6.9","0.6","0.6","",".","0.3","11.7",".",".",".","0.3","2.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","2","3.700","50.0","50.0",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Junior","","6","3.500","50.0",".","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Senior","","14","3.457","42.9","14.3","28.6","7.1","7.1","",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","23","3.509","47.8","13.0","30.4","4.3","4.3","",".",".",".",".",".",".",".",".",".",".","."
"Special","","21","3.357","38.1","14.3","14.3","4.8","4.8","",".","4.8","19.0",".",".",".",".",".",".",".","."
"Graduate","","295","3.860","64.7","15.3","4.1",".",".","",".",".","12.5",".",".",".","0.3","3.1",".",".","."
"Prof Yr 2","","4","3.375","25.0","25.0","50.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","6","4.000","100.0",".",".",".",".","",".",".",".",".",".",".",".",".",".",".","."
"Professionals","","10","3.773","70.0","10.0","20.0",".",".","",".",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","349","3.798","62.2","14.9","6.9","0.6","0.6","",".","0.3","11.7",".",".",".","0.3","2.6",".",".","."
