"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","105
001","15","4.000","86.7",".",".",".",".",".",".","13.3",".",".",".",".",".",".",".","."
"","105
002","14","3.643","85.7",".","7.1",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"Human Dev; Awareness Proc","Course Total","29","3.815","86.2",".","3.4",".",".",".","3.4","6.9",".",".",".",".",".",".",".","."
"Human Dev:Career Strategies","001
110","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
002","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
003","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
004","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
115","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"","115
007","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
010","8","3.500","87.5",".",".",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"","115
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
013","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.3"
"","014
115","9","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","115
015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","104","3.912","95.2",".","1.0",".",".",".","1.9",".",".",".",".",".",".",".",".","1.9"
"Spec Topics-Cnslg & Guidnce","620
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Prac-Interviewing","650
001","123","3.806","67.5","25.2","4.9",".","0.8",".",".",".",".",".",".",".","0.8","0.8",".","."
"","665
001","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
665","18","3.556","88.9",".",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"Career Dev Through Life Spn","Course Total","27","3.556","66.7","22.2","3.7",".",".",".","7.4",".",".",".",".",".",".",".",".","."
"Theories of Counseling","800
001","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assess Tech for Counselors","801
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tech&Microskills-Counselors","805
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
002","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
004","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","807
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Suprvsd Pract-Counseling II","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Csnlg Psych Tech-Families","825
001","34","3.950","82.4","2.9","2.9",".",".",".",".","2.9",".",".",".",".","8.8",".",".","."
"Consultation Proc-Counselor","850
001","13","3.917","84.6",".","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"Multicultural Counseling","860
001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Thry&Prac-Career Interventn","865
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900
003","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","900
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cnsl Psychology Practicum","Course Total","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Couns Psych Practicum","901
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Counseling Psychology","925
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Leg&Ethicl Base-Couns Psych","926
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
