"KINESIOLOGY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"742
KINES","","","","","","","","","","","","","","","","","","","","",""
"","116","001","","20","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","116","002","","23","3.370","21.7","39.1","34.8",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","116","003","","26","3.538","38.5","34.6","23.1","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"First Aid","","Course Total","","69","3.543","36.2","40.6","20.3","1.4","1.4",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Physical Educ","121","001","","23","3.196","21.7","30.4","39.1",".","4.3",".","4.3",".",".",".",".",".",".",".",".","."
"Gymnastics for Teaching","126","001","","19","3.789","68.4","26.3",".","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","300","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","300","002","","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300","003","","8","3.188","25.0","25.0","12.5","37.5",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Kinesiology","","Course Total","","34","3.806","73.5","14.7","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Tech-Athletic Training","301","001","","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physiology of Exercise","314","001","","44","3.250","20.5","34.1","34.1","2.3","6.8","2.3",".",".",".",".",".",".",".",".",".","."
"Measurement-Motor Behavior","315","001","","39","3.423","28.2","35.9","30.8","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Adapted Physical Activity","316","001","","19","3.526","31.6","47.4","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Recog&Eval-Athletc Injuries","317","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biomechanics","318","001","","36","3.417","38.9","22.2","27.8","5.6","5.6",".",".",".",".",".",".",".",".",".",".","."
"","323","001","","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","002","","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","323","003","","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phy Ed-Elem School Children","","Course Total","","50","3.930","86.0","14.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Specialized Tchg Experience","332","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Elem School Phy Ed","335","001","","22","3.591","27.3","63.6","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Sport Psychology","350","001","","56","2.973","21.4","19.6","21.4","17.9","12.5","3.6","1.8","1.8",".",".",".",".",".",".",".","."
"Rehab/Treat Athltc Injuries","358","001","","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Learning&Performance","361","001","","37","3.392","27.0","29.7","40.5",".","2.7",".",".",".",".",".",".",".",".",".",".","."
"Pract:Adapted Physical Educ","365","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","036","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org&Admin-Ath Training Prgm","400","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Activity & Health","521","001","","29","3.569","34.5","51.7","10.3",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Psych Found-Sport&Phys Act","600","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biol Factors-Exercise Perf","614","001","","48","2.875","14.6","8.3","45.8","8.3","18.8","4.2",".",".",".",".",".",".",".",".",".","."
"Independent Study","699","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiores Adapt-Envr&Exer","773","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Sport Psychology","800","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Prin-Measuring Motor Behav","870","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Occupation & Health","885","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"OT Leadership (MCH Trainee)","890","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 100 of 382",""
