"SOCIAL WORK","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"","105
001","","20","3.625","45.0","35.0","10.0","5.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","105
002","","7","3.786","85.7",".",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","Course Total","","27","3.691","55.6","25.9","7.4","7.4",".",".",".","3.7",".",".",".",".",".",".",".","."
"Intro-Field of Social Work","205
001","","79","2.812","7.6","17.7","38.0","13.9","13.9","5.1","1.3",".",".",".",".",".",".","1.3",".","1.3"
"","400
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","","8","3.638","50.0","25.0",".","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"","400
004","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
005","","10","3.949","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
400","","6","3.923","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
007","","10","3.894","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
009","","7","3.845","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
010","","12","3.830","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
011","","12","3.870","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
014","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Pract/Integrat Smr I","Course Total","","96","3.893","81.3","15.6","1.0","1.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","401
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","440
001","","26","3.673","57.7","19.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
440","","23","3.891","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
004","","25","3.520","32.0","44.0","20.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice Soc Work I","Course Total","","97","3.742","61.9","25.8","11.3","1.0",".",".",".",".",".",".",".",".",".",".",".","."
"Interpersonal Skills Devel","458
001","","98","3.694","49.0","40.8","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Violence","523
001","","50","3.410","38.0","22.0","24.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"Homelessness: Service Learning","578
001","","23","3.826","73.9","17.4","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Interdis Rur Prim Hlth Care","600
001","","6","3.500","16.7","66.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Field of Social Work","605
001","","54","3.726","48.1","46.3","3.7",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"Ethnic and Racial Groups","640
001","","95","3.665","62.1","20.0","10.5","2.1","3.2","1.1",".",".",".",".",".",".","1.1",".",".","."
"Social Work and Adolescents","642
001","","22","3.571","77.3","9.1","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"","644
001","","32","3.821","71.9","21.9","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
644","","13","3.486","46.2","23.1","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","644
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","644
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Soc Work & Devel Disabilities","Course Total","","48","3.724","62.5","22.9","8.3","4.2",".",".",".",".",".",".",".",".",".",".","2.1","."
"Methods-Social Wrk Research","650
001","","60","2.992","21.7","13.3","31.7","11.7","20.0","1.7",".",".",".",".",".",".",".",".",".","."
"American Indian Affairs","658
001","","20","3.741","65.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intl Aspects of Social Work","659
001","","25","3.769","52.0","44.0",".",".",".",".",".","4.0",".",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 281 of 382",""
