"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Public School Adm-America","500","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","502","002","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","004","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","502","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Workshop in Ed Admin","","Course Total","","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Intro-Higher & Post-Sec Ed","701","001","","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Elem & Sec Educ Admin","702","001","","26","3.960","88.5","7.7",".",".",".",".",".",".",".",".",".",".",".","3.8",".","."
"Govern&Admin-Coll&Universty","715","001","","17","3.824","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","15","3.433","60.0","13.3","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Stdt Serv&Divrsty-El/Scndry","735","002","","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Admin-Commnty Ed-Sch Settng","780","001","","9","2.000","11.1",".",".",".",".",".","11.1",".",".",".",".",".","55.6","22.2",".","."
"Staff Personnel Sys in Ed","785","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","820","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","820","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Adm of School Systems","","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal Aspcts-El & Scndry Ed","840","001","","14","3.808","71.4","7.1","14.3",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Legal Aspects of Higher Ed","841","001","","17","3.781","64.7","17.6","11.8",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","845","001","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","7.1",".",".","7.1"
"","845","002","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The School Principalship","","Course Total","","39","4.000","94.9",".",".",".",".",".",".",".",".",".",".",".","2.6",".",".","2.6"
"Instr Leadershp&Schl Improv","847","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Theory&Behavior in Educ","860","001","","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870","001","","26","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","870","002","","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Politics of Education","","Course Total","","42","3.893","83.3","11.9","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory&Practice-Ed Planning","875","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","900","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","900","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship in Ed Admin","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Smr in Educational Admin","940","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr in Educ Finance","960","001","","14","3.813","42.9","7.1","7.1",".",".",".",".","42.9",".",".",".",".",".",".",".","."
"","990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","003","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"","990","012","","9","",".",".",".",".",".",".",".","66.7",".",".",".","33.3",".",".",".","."
"","990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","10","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","","Page 88 of 382"
