"Thesis","Course Total","25","",".",".",".",".",".",".",".","56.0","4.0",".",".","40.0",".",".",".","."
"","999
059","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","999
061","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"CIV ENGR
240","Dept. Total","1352","3.289","35.9","14.9","18.3","5.7","7.8","1.8","0.3","8.9","0.1",".",".","5.8","0.4","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"240
CIV ENGR","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","2.200",".",".",".","50.0","50.0",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","42","2.774","11.9","26.2","28.6",".","31.0","2.4",".",".",".",".",".",".",".",".",".","."
"Junior","","208","3.190","34.1","16.8","26.0","7.7","10.6","3.4","0.5","0.5",".",".",".",".",".","0.5",".","."
"Senior","","510","3.142","33.3","16.9","24.5","9.6","12.2","2.9","0.4",".",".",".",".","0.2",".",".",".","."
"Undergraduates","","762","3.136","32.3","17.3","25.1","8.7","12.9","3.0","0.4","0.1",".",".",".","0.1",".","0.1",".","."
"Special","","29","3.264","48.3","6.9","10.3","10.3","6.9","3.4","3.4","6.9",".",".",".",".",".",".","3.4","."
"Graduate","","561","3.674","40.1","12.1","9.4","1.4","1.1",".",".","20.9","0.2",".",".","13.7","0.9",".","0.2","."
"","Dept. Total","1352","3.289","35.9","14.9","18.3","5.7","7.8","1.8","0.3","8.9","0.1",".",".","5.8","0.4","0.1","0.1","."
