"AMERICAN INDIAN STUDIES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","",""
"100
Intro-Amer Indian Studies","001","","44","3.733","72.7","13.6","6.8","2.3",".",".","2.3","2.3",".",".",".",".",".",".",".","."
"401
Third Semester Ojibwe","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"450","002","","14","3.577","50.0","28.6",".","7.1","7.1",".",".",".",".",".",".",".",".",".","7.1","."
"450","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","Course Total","","18","3.647","55.6","27.8",".","5.6","5.6",".",".",".",".",".",".",".",".",".","5.6","."
"490
American Indian History","001","","32","2.986","9.4","21.9","37.5","9.4","12.5","3.1",".","3.1",".",".",".",".",".",".",".","3.1"
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","7","3.250","57.1","14.3",".",".",".",".","14.3",".",".",".",".",".",".",".",".","14.3"
