"Chicano Lit in Spanish","240
001","","11","3.409","63.6","9.1","18.2",".",".",".","","9.1",".",".","",".",".","",".","",".",".",".","."
"Ident&Mex Am/Chic Soc Mvmt Org","466
001","","4","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Lit of Hispanics in U.S.","467
001","","14","3.174","21.4","50.0","14.3","7.1",".",".","","7.1",".",".","",".",".","",".","",".",".",".","."
"Directed Study","699
003","","3","***","","","","","","","","","","","",".",".","",".","",".",".",".","."
"CHICLA
228","Dept. Total","","90","3.340","28.9","34.4","24.4","3.3","1.1","",".","3.3","1.1","",".",".","",".","",".","3.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","",""
"228
CHICLA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","5","2.500","20.0",".","40.0",".",".","",".","20.0",".","",".",".","",".","",".","20.0",".",".","."
"Sophomore","","","15","3.286","20.0","20.0","46.7","6.7",".","",".",".","6.7","",".",".","",".","",".",".",".",".","."
"Junior","","","31","3.231","25.8","45.2","16.1",".","3.2","",".","6.5",".","",".",".","",".","",".","3.2",".",".","."
"Senior","","","38","3.544","36.8","36.8","18.4","5.3",".","",".",".",".","",".",".","",".","",".","2.6",".",".","."
"Undergraduates","","","89","3.344","29.2","34.8","23.6","3.4","1.1","",".","3.4","1.1","",".",".","",".","",".","3.4",".",".","."
"Graduate","","","1","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","","90","3.340","28.9","34.4","24.4","3.3","1.1","",".","3.3","1.1","",".",".","",".","",".","3.3",".",".","."
