"","299
003","","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","004
299","","12","3.875","83.3","8.3","8.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Independent Study","Course Total","","13","3.900","84.6","7.7","7.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","350
001","","17","3.324","35.3","52.9",".",".",".","5.9","5.9",".","",".","",".",".","",".","",".","",".",".","."
"INTER-HE
498","Dept. Total","","57","3.173","35.1","26.3","17.5","14.0","1.8","3.5","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","3","1.833",".",".",".","33.3","33.3","33.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","","1","1.000",".",".",".",".",".","100.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","","20","3.063","30.0","30.0","15.0","20.0",".",".","5.0","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","32","3.446","43.8","25.0","21.9","9.4",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","56","3.167","35.7","25.0","17.9","14.3","1.8","3.6","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Special","","","1","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","57","3.173","35.1","26.3","17.5","14.0","1.8","3.5","1.8","",".","",".",".","",".","",".","",".",".",".","."
