"CLINICAL LABORATORY SCIEN","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Clinical Lab Science","102
001","47","3.457","66.0","6.4","8.5","8.5","6.4",".","4.3",".","",".","",".",".","",".","",".","",".",".","."
"Clinical Hematology I","515
001","17","2.706","17.6",".","41.2","11.8","23.5",".","5.9",".","",".","",".",".","",".","",".","",".",".","."
"Clinical Chemistry I","525
001","18","2.806","5.6","11.1","44.4","16.7","22.2",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Lab Diagnos-Infect Disease I","535
001","15","2.400","6.7",".","26.7","13.3","46.7","6.7",".",".","",".","",".",".","",".","",".","",".",".","."
"The Respiratory System","543
001","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clinical Immunohematology","550
001","17","2.794","17.6","17.6","23.5","11.8","23.5",".","5.9",".","",".","",".",".","",".","",".","",".",".","."
"Clin Immunol & Applied Tech","560
001","14","3.107","7.1","35.7","42.9",".","14.3",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","575
001","9","3.889","77.8","22.2",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"","575
004","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","575
005","1","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","575
006","10","3.800","80.0",".","20.0",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Clinical Lab Science Practicum","Course Total","21","3.872","81.0","9.5","9.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Management Seminar","620
001","17","3.559","29.4","52.9","17.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".","."
"CLNLABSC
628","Dept. Total","167","3.027","37.7","14.4","22.8","7.8","14.4","0.6","2.4","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","2.688","50.0","12.5",".",".","12.5",".","25.0","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","18","3.472","61.1",".","16.7","16.7","5.6",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","40","3.040","35.0","12.5","32.5","5.0","15.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","100","2.987","33.0","18.0","22.0","8.0","16.0","1.0","2.0","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","166","3.019","37.3","14.5","22.9","7.8","14.5","0.6","2.4","",".","",".",".","",".","",".","",".",".",".","."
"Special","","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","167","3.027","37.7","14.4","22.8","7.8","14.4","0.6","2.4","",".","",".",".","",".","",".","",".",".",".","."
