"LITERATURE IN TRANSLATION","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201
001","57","3.018","29.8","14.0","19.3","17.5","14.0","3.5","1.8",".",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203
001","60","3.576","50.0","30.0","13.3",".","1.7","3.3",".",".",".",".",".",".",".",".","1.7","."
"Women in Russn Lit in Trans","205
001","7","3.065","42.9","14.3","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"Lit Tran:Fr&It Jewish Wrtrs","210
001","23","3.717","52.2","39.1","8.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tolstoy in Translation","224
001","9","3.667","66.7","22.2",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Intro-Luso-Afro-Brazilian Lit","226
001","15","3.267","33.3","13.3","33.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Biblical Lit","227
001","40","2.938","17.5","25.0","32.5","7.5","10.0",".","7.5",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","233
001","23","3.734","69.6","8.7","21.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biblical Poetry in Translation","237
001","13","3.269","15.4","38.5","30.8","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Trn:Fr Wom Writers Today","251
001","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lt Tran:Dante-Divine Comedy","001
253","57","3.268","19.3","36.8","28.1","12.3",".",".","1.8","1.8",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261
001","25","2.600","32.0",".","28.0",".","20.0","8.0","12.0",".",".",".",".",".",".",".",".","."
"Japanese Lit in Translation","263
001","31","2.952","6.5","54.8","12.9",".","16.1","6.5","3.2",".",".",".",".",".",".",".",".","."
"In Tran:Yiddsh Lit-E Europe","269
001","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271
001","216","3.258","24.1","29.6","28.7","10.2","4.2","1.4","0.9",".",".",".",".",".","0.5",".",".","0.5"
"","275
001","98","3.292","16.3","45.9","26.5","4.1","5.1",".","1.0",".",".",".",".",".","1.0",".",".","."
"","275
002","219","3.277","14.6","43.4","28.8","8.2","2.3","1.4",".","0.5",".",".",".",".","0.5",".",".","0.5"
"In Transl:Hans C. Andersen","Course Total","317","3.282","15.1","44.2","28.1","6.9","3.2","0.9","0.3","0.3",".",".",".",".","0.6",".",".","0.3"
"SE Asian Lit in Translation","001
330","28","3.247","14.3","32.1","42.9","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lit in Transl-Isak Dinesen","334
001","14","3.766","64.3","28.6",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","001
347","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Pol Lit(Tran) Mid Ages-1863","471
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"LITTRANS
551","Dept. Total","973","3.284","26.0","33.4","24.8","7.5","4.6","1.4","1.3","0.2",".",".",".",".","0.3",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","",""
"Freshmen","","198","3.101","17.2","29.8","31.8","8.6","6.1","3.0","2.5",".",".",".",".",".",".",".","0.5","0.5"
"Sophomore","","376","3.315","25.5","35.6","24.2","8.5","3.7","0.5","1.3",".",".",".",".",".","0.5",".",".","."
"Junior","","231","3.363","30.3","35.5","21.6","4.3","5.6","0.9","0.9","0.4",".",".",".",".","0.4",".",".","."
"Senior","","166","3.325","31.9","29.5","22.3","8.4","3.6","2.4","0.6",".",".",".",".",".",".",".","0.6","0.6"
"Undergraduates","","971","3.284","26.1","33.4","24.8","7.5","4.6","1.4","1.3","0.1",".",".",".",".","0.3",".","0.2","0.2"
"Special","","2","3.500",".","50.0",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"","Dept. Total","973","3.284","26.0","33.4","24.8","7.5","4.6","1.4","1.3","0.2",".",".",".",".","0.3",".","0.2","0.2"
